trip,hour,eir_lines_lost,eir_rounds,eir_cut,our_lines_lost,our_rounds,our_cut
4942-4943-1,56,0,1,179.0,0,1,133.3
4942-4943-1,64,0,1,3.7,0,1,1.3
4942-4943-1,101,0,1,177.0,0,1,144.4
T4943-4941-49421-1-w1,56,0,1,2.2,0,1,0.8
T4943-4941-49421-1-w1,64,0,1,1.5,0,1,0.5
1151-3461-1,64,0,1,0.8,0,1,0.3
3462-3942-2,101,0,1,68.0,0,1,46.7
76810-77210-1,56,0,1,4.7,0,1,1.6
76810-77210-1,64,0,1,3.7,0,1,1.3
76810-77210-1,101,0,1,4.1,0,1,2.9
3261-3441-1,101,0,1,32.9,0,1,23.1
2141-6931-1,56,0,1,1.2,0,1,0.4
2141-6931-1,64,0,1,1.0,0,1,0.3
2141-6931-1,101,0,1,69.9,0,1,49.7
3472-3842-1,56,0,1,1.2,0,1,0.4
3472-3842-1,64,0,1,0.8,0,1,0.3
1821-35011-1,101,0,1,19.3,0,1,13.5
T30820-3091-30826-3-w1,56,1,1,0.0,1,1,0.0
T30820-3091-30826-3-w1,64,1,1,0.0,1,1,0.0
T30820-3091-30826-3-w1,101,1,1,0.0,1,1,0.0
3581-89516-1,101,0,1,28.8,0,1,20.0
70010-79010-1,56,0,1,1.5,0,1,0.5
70010-79010-1,64,0,1,2.6,0,1,0.9
3571-4481-1,56,0,1,9.0,0,1,3.1
3571-4481-1,64,0,1,7.6,0,1,2.7
3571-4481-1,101,0,1,70.5,0,1,49.1
4471-4651-4,101,1,1,0.0,1,1,0.0
2141-4791-1,56,0,1,0.8,0,1,0.3
2141-4791-1,101,0,1,47.5,0,1,33.8
T4384-4382-43821-1-w1,56,0,1,389.2,0,1,257.8
T4384-4382-43821-1-w1,64,0,1,63.5,0,1,23.0
T4384-4382-43821-1-w1,101,1,2,1168.3,60,4,1721.1
T90012-90020-90063-1-w2,56,0,1,2.7,0,1,1.0
T90012-90020-90063-1-w2,64,0,1,2.1,0,1,0.7
2561-4491-1,56,3,2,0.0,3,2,0.0
2561-4491-1,101,3,2,0.0,3,2,0.0
1641-50019-1,56,0,1,0.8,0,1,0.3
1641-50019-1,64,0,1,1.3,0,1,0.5
3282-34620-1,56,0,1,1.3,0,1,0.4
3282-34620-1,64,0,1,0.9,0,1,0.3
4041-5341-1,56,0,1,11.6,0,1,4.1
4041-5341-1,64,0,1,9.7,0,1,3.5
4041-5341-1,101,0,1,8.4,0,1,5.8
1181-4961-1,56,0,1,3.5,0,1,1.2
1181-4961-1,64,0,1,2.2,0,1,0.8
T89510-89515-1,101,0,1,28.8,0,1,20.1
T1642-1641-16421-1-w1,56,0,1,1.2,0,1,0.4
T1642-1641-16421-1-w1,64,0,1,0.8,0,1,0.3
3601-39610-1,101,0,1,15.6,0,1,11.0
5211-22613-1,56,0,1,2.7,0,1,1.0
5211-22613-1,64,0,1,1.8,0,1,0.6
1441-2225-1,101,0,1,9.1,0,1,6.4
