arm,scenario,outage,hour,broken,kind,over_MW
eir,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.5
eir,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.5
blind,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.53
blind,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.53
sum,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.53
sum,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.53
need,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.53
need,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.53
mmx,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.53
mmx,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.53
stale,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.53
stale,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.53
roster,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.53
roster,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.53
gper,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.52
gper,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.52
gnet,WP2033,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,0.52
gnet,WP2033,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,0.52
eir,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.5
eir,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.5
blind,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.53
blind,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.53
sum,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.53
sum,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.53
need,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.53
need,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.53
mmx,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.53
mmx,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.53
stale,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.53
stale,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.53
roster,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.53
roster,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.53
gper,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.52
gper,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.52
gnet,WP2033,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,0.52
gnet,WP2033,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,0.52
blind,WP2033,1071-4941-1,158,2781-4951-1,Line,0.11
sum,WP2033,1071-4941-1,158,2781-4951-1,Line,0.11
need,WP2033,1071-4941-1,158,2781-4951-1,Line,0.11
mmx,WP2033,1071-4941-1,158,2781-4951-1,Line,0.11
stale,WP2033,1071-4941-1,158,2781-4951-1,Line,0.11
roster,WP2033,1071-4941-1,158,2781-4951-1,Line,0.11
blind,WP2033,1122-1742-1,158,2781-4951-1,Line,0.39
sum,WP2033,1122-1742-1,158,2781-4951-1,Line,0.39
need,WP2033,1122-1742-1,158,2781-4951-1,Line,0.39
mmx,WP2033,1122-1742-1,158,2781-4951-1,Line,0.51
stale,WP2033,1122-1742-1,158,2781-4951-1,Line,0.39
roster,WP2033,1122-1742-1,158,2781-4951-1,Line,0.39
blind,WP2033,1181-1861-1,158,2781-4951-1,Line,0.15
sum,WP2033,1181-1861-1,158,2781-4951-1,Line,0.15
need,WP2033,1181-1861-1,158,2781-4951-1,Line,0.15
stale,WP2033,1181-1861-1,158,2781-4951-1,Line,0.15
roster,WP2033,1181-1861-1,158,2781-4951-1,Line,0.15
gnet,WP2033,1181-1861-1,158,2781-4951-1,Line,0.25
blind,WP2033,1212-1602-1,158,2781-4951-1,Line,0.26
sum,WP2033,1212-1602-1,158,2781-4951-1,Line,0.26
need,WP2033,1212-1602-1,158,2781-4951-1,Line,0.26
mmx,WP2033,1212-1602-1,158,2781-4951-1,Line,0.26
stale,WP2033,1212-1602-1,158,2781-4951-1,Line,0.28
roster,WP2033,1212-1602-1,158,2781-4951-1,Line,0.26
eir,WP2033,1251-2361-1,158,2781-4951-1,Line,0.27
blind,WP2033,1251-2361-1,158,2781-4951-1,Line,0.19
sum,WP2033,1251-2361-1,158,2781-4951-1,Line,0.19
need,WP2033,1251-2361-1,158,2781-4951-1,Line,0.19
mmx,WP2033,1251-2361-1,158,2781-4951-1,Line,0.19
stale,WP2033,1251-2361-1,158,2781-4951-1,Line,0.2
roster,WP2033,1251-2361-1,158,2781-4951-1,Line,0.19
gper,WP2033,1251-2361-1,158,2781-4951-1,Line,0.25
gnet,WP2033,1251-2361-1,158,2781-4951-1,Line,0.25
eir,WP2033,1341-1701-1,142,2781-4951-1,Line,0.12
blind,WP2033,1361-2001-1,158,2781-4951-1,Line,0.17
sum,WP2033,1361-2001-1,158,2781-4951-1,Line,0.17
need,WP2033,1361-2001-1,158,2781-4951-1,Line,0.17
mmx,WP2033,1361-2001-1,158,2781-4951-1,Line,0.26
stale,WP2033,1361-2001-1,158,2781-4951-1,Line,0.17
roster,WP2033,1361-2001-1,158,2781-4951-1,Line,0.17
blind,WP2033,1361-2161-1,158,2781-4951-1,Line,0.2
sum,WP2033,1361-2161-1,158,2781-4951-1,Line,0.2
need,WP2033,1361-2161-1,158,2781-4951-1,Line,0.2
mmx,WP2033,1361-2161-1,158,2781-4951-1,Line,0.31
stale,WP2033,1361-2161-1,158,2781-4951-1,Line,0.2
roster,WP2033,1361-2161-1,158,2781-4951-1,Line,0.2
blind,WP2033,1392-3842-1,158,2781-4951-1,Line,1.01
sum,WP2033,1392-3842-1,158,2781-4951-1,Line,1.01
need,WP2033,1392-3842-1,158,2781-4951-1,Line,1.01
mmx,WP2033,1392-3842-1,158,2781-4951-1,Line,0.34
stale,WP2033,1392-3842-1,158,2781-4951-1,Line,1.01
roster,WP2033,1392-3842-1,158,2781-4951-1,Line,1.01
blind,WP2033,1392-4943-1,158,2781-4951-1,Line,1.01
sum,WP2033,1392-4943-1,158,2781-4951-1,Line,1.01
need,WP2033,1392-4943-1,158,2781-4951-1,Line,1.01
mmx,WP2033,1392-4943-1,158,2781-4951-1,Line,0.34
stale,WP2033,1392-4943-1,158,2781-4951-1,Line,1.01
roster,WP2033,1392-4943-1,158,2781-4951-1,Line,1.01
eir,WP2033,1472-2562-1,0,2781-4951-1,Line,2.33
eir,WP2033,1472-2562-1,0,3581-89516-1,Line,1.38
blind,WP2033,1472-2562-1,0,2781-4951-1,Line,1.13
blind,WP2033,1472-2562-1,0,3581-89516-1,Line,0.79
sum,WP2033,1472-2562-1,0,2781-4951-1,Line,1.13
sum,WP2033,1472-2562-1,0,3581-89516-1,Line,0.79
need,WP2033,1472-2562-1,0,2781-4951-1,Line,1.13
need,WP2033,1472-2562-1,0,3581-89516-1,Line,0.79
mmx,WP2033,1472-2562-1,0,2781-4951-1,Line,1.13
