arm,scenario,outage,hour,broken,kind,over_MW
eir,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
blind,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
sum,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
need,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
mmx,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
stale,WP2033,4981-5041-1,68,5041-17010-2,Line,11.23
roster,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
gper,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
gnet,WP2033,4981-5041-1,68,5041-17010-2,Line,5.53
eir,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
blind,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
sum,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
need,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
mmx,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
stale,WP2033,4981-5041-1,69,5041-17010-2,Line,11.08
roster,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
gper,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
gnet,WP2033,4981-5041-1,69,5041-17010-2,Line,5.46
stale,WP2033,4981-5041-1,114,5041-17010-2,Line,5.15
stale,WP2033,4981-5041-1,118,5041-17010-2,Line,1.68
stale,WP2033,4981-5041-1,119,5041-17010-2,Line,4.51
eir,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
blind,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
sum,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
need,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
mmx,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
stale,WP2033,4981-5041-1,120,5041-17010-2,Line,12.47
roster,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
gper,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
gnet,WP2033,4981-5041-1,120,5041-17010-2,Line,6.14
eir,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
blind,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
sum,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
need,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
mmx,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
stale,WP2033,4981-5041-2,68,5041-17010-2,Line,10.91
roster,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
gper,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
gnet,WP2033,4981-5041-2,68,5041-17010-2,Line,5.53
eir,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
blind,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
sum,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
need,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
mmx,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
stale,WP2033,4981-5041-2,69,5041-17010-2,Line,10.76
roster,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
gper,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
gnet,WP2033,4981-5041-2,69,5041-17010-2,Line,5.46
stale,WP2033,4981-5041-2,114,5041-17010-2,Line,4.81
stale,WP2033,4981-5041-2,118,5041-17010-2,Line,1.68
stale,WP2033,4981-5041-2,119,5041-17010-2,Line,4.51
eir,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
blind,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
sum,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
need,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
mmx,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
stale,WP2033,4981-5041-2,120,5041-17010-2,Line,12.11
roster,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
gper,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
gnet,WP2033,4981-5041-2,120,5041-17010-2,Line,6.14
