outage,kind,s_nom,islands_created,n_violations,worst_loading_pct,overload_MW,max_dS,mean_dS,frac_S_moved_1pct
1021-2121-1,Line,121.0,0,4,100.169505,0.766978,0.461168,0.000544,0.008384
1021-2341-1,Line,192.0,1,1,100.178095,0.2432,0.857124,0.000319,0.004485
1021-2361-1,Line,121.0,0,2,100.226647,0.661988,0.462836,0.000558,0.00854
1021-3541-1,Line,210.0,0,0,100.070676,0.276424,1.099393,0.000451,0.005265
1021-10210-1,Line,999.0,0,1,100.111502,0.572005,1.02147,0.000501,0.006441
1021-10261-1,Line,123.0,1,0,100.0,0.0,0.00533,0.000129,0.0
1031-1181-1,Line,210.0,0,5,102.286374,2.812239,1.105703,0.00042,0.0052
1031-4221-1,Line,210.0,0,5,102.286374,2.812239,1.105457,0.000447,0.005057
1041-5481-1,Line,121.0,0,0,100.00777,0.038852,1.525197,0.000327,0.004329
1042-1052-1,Line,593.0,0,0,100.000626,0.003213,0.044426,0.000198,4.5e-05
1042-1072-1,Line,593.0,0,0,100.00777,0.038852,1.523497,0.000332,0.004777
1042-3202-1,Line,468.0,0,0,100.008445,0.042225,0.084106,0.000217,0.002587
1042-4722-1,Line,513.0,0,0,100.003199,0.016411,0.064,0.000172,0.000279
1042-10422-1,Line,574.0,1,3,101.240261,1.314677,1.471764,0.000866,0.014734
1052-1062-1,Line,999.0,1,0,100.0,0.0,0.00533,0.000179,0.0
1052-2852-1,Line,573.0,0,0,100.001339,0.004374,0.102789,0.000155,0.001423
1052-3202-2,Line,468.0,0,0,100.008247,0.041233,0.075618,0.000175,0.000526
1061-10619-1,Line,123.0,1,1,100.355307,0.437028,1.034665,0.000348,0.004758
1071-2231-1,Line,123.0,1,1,100.299148,0.317097,0.514943,0.000267,0.004134
1071-2361-1,Line,91.0,0,5,100.589032,2.94516,1.032769,0.000754,0.010406
1071-4941-1,Line,119.0,0,5,101.190366,5.95183,1.151998,0.000732,0.011556
1081-32810-1,Line,45.0,1,2,100.124714,0.62357,1.029832,0.00044,0.004114
1091-2861-1,Line,181.0,0,0,100.0,0.0,0.013316,0.000177,0.00102
1091-3091-1,Line,181.0,0,0,100.0,0.0,0.007989,0.000197,0.0
1101-2161-1,Line,45.0,1,4,100.257595,1.321465,0.007995,0.000241,0.0
1121-1301-1,Line,159.0,0,4,117.305596,88.77771,1.038543,0.000467,0.005674
1121-3181-1,Line,124.0,1,4,100.371413,1.317623,0.013324,0.000158,0.002041
1121-4321-1,Line,210.0,0,3,100.333482,1.804261,1.304551,0.000499,0.006545
1121-4451-1,Line,210.0,0,0,100.0,0.0,0.007989,0.000135,0.0
1121-4451-2,Line,210.0,0,0,100.0,0.0,0.007989,0.000126,0.0
1122-1742-1,Line,513.0,0,7,182.976982,131.933402,1.46313,0.001489,0.023606
1122-3642-1,Line,513.0,0,5,104.058756,25.732515,1.153979,0.001123,0.018718
1122-11260-1,Line,513.0,1,7,104.052009,14.385056,0.953881,0.000818,0.013356
1131-2131-1,Line,136.0,1,2,100.1433,0.151898,0.996005,0.000264,0.003399
1131-11310-1,Line,210.0,1,1,100.1164,0.123384,0.996005,0.000264,0.003399
1131-31911-1,Line,210.0,1,2,100.433572,0.459586,0.572538,0.000506,0.006135
1141-1911-1,Line,140.0,1,3,100.294127,1.864765,1.029987,0.000225,0.003575
1141-3501-1,Line,210.0,0,6,101.466726,7.333632,0.680355,0.000945,0.014351
1141-4941-1,Line,190.0,0,5,101.708604,6.511493,1.375529,0.001221,0.01773
1141-11461-1,Line,123.0,1,0,100.0,0.0,0.01066,0.000165,0.00102
1151-1161-1,Line,210.0,0,4,100.137797,0.706901,1.028993,0.000539,0.006148
1151-3461-1,Line,210.0,0,2,100.137797,0.706901,1.149866,0.000609,0.007175
1161-1781-1,Line,96.0,1,4,101.405929,7.029647,1.152882,0.000634,0.006909
1161-3901-1,Line,210.0,0,2,100.57858,2.8929,0.839994,0.000437,0.005213
1161-5051-3,Line,120.0,1,2,100.27806,0.342014,0.40288,0.00026,0.00427
1161-5071-4,Line,120.0,1,2,100.27806,0.342014,0.40288,0.00026,0.00427
1161-17810-2,Line,96.0,1,0,100.0,0.0,0.013324,0.000167,0.002041
1181-1861-1,Line,210.0,0,7,104.718142,5.803314,1.075166,0.00134,0.021338
1181-2821-1,Line,210.0,0,3,103.55103,4.367766,0.817572,0.000904,0.013824
1181-4961-1,Line,210.0,0,1,100.890069,1.094785,1.094337,0.000332,0.00349
1181-4961-2,Line,210.0,0,1,100.58592,0.720682,1.106773,0.000342,0.003146
1201-2561-1,Line,136.0,0,1,129.498864,33.628706,0.007989,0.00014,0.0
1201-3781-1,Line,115.0,0,1,116.036081,18.281133,0.005326,0.000121,0.0
1211-1751-1,Line,140.0,1,2,100.271517,0.287808,1.152972,0.000315,0.004582
1211-2771-1,Line,220.0,1,2,100.939281,0.995638,1.748668,0.000848,0.011062
1211-12111-1,Line,210.0,0,0,100.0,0.0,0.502269,0.000293,0.002171
1212-1602-1,Line,792.0,0,3,105.771631,28.858153,1.300094,0.002445,0.042773
1212-3332-1,Line,794.0,0,2,106.153363,31.56675,1.461041,0.002076,0.036813
1221-1901-1,Line,123.0,0,4,100.372957,2.026426,0.275544,0.000307,0.002327
1221-3551-1,Line,123.0,0,0,100.078248,0.163486,0.67604,0.000381,0.004946
1231-1841-1,Line,68.0,1,1,100.272122,0.362499,0.496531,0.000283,0.004238
1244-3204-1,Line,1100.0,1,0,100.0,0.0,0.008005,0.000244,0.0
1251-2361-1,Line,210.0,0,3,101.731115,8.655576,0.88376,0.000706,0.009216
1251-52219-1,Line,210.0,0,3,100.52549,0.820142,1.151565,0.000821,0.01359
1261-3651-1,Line,140.0,1,0,100.0,0.0,0.013324,0.000144,0.002041
1271-1491-1,Line,210.0,0,1,100.100699,0.193342,0.227642,0.000323,0.002879
1271-2041-1,Line,210.0,0,1,100.172272,0.330763,0.4376,0.000474,0.003945
1281-2221-1,Line,68.0,1,2,100.276122,0.292689,1.153016,0.000418,0.006415
1301-17411-1,Line,159.0,0,4,115.192569,77.937877,1.038435,0.00034,0.003802
1311-3331-1,Line,220.0,1,2,100.742136,0.786665,1.152961,0.00034,0.005349
1321-13219-1,Line,159.0,1,0,100.006359,0.037007,0.007995,0.000238,0.0
1331-2041-1,Line,130.0,0,5,101.194362,2.073036,1.08457,0.000683,0.006805
1331-4001-1,Line,123.0,0,5,101.350963,2.344846,1.084975,0.000717,0.007838
1341-1701-1,Line,210.0,0,3,108.125037,9.993795,0.660195,0.000559,0.006974
1341-5191-1,Line,159.0,0,3,100.743475,0.914474,1.658864,0.000424,0.004647
1351-4081-1,Line,121.0,0,3,100.303411,1.74408,1.302231,0.000301,0.002554
1351-4201-1,Line,122.0,0,3,100.332342,1.933388,1.302098,0.00035,0.003575
1361-2001-1,Line,217.0,0,5,101.636368,8.181839,1.263489,0.001121,0.018127
1361-2161-1,Line,210.0,0,5,101.833452,9.16726,1.443071,0.001173,0.018803
1371-1451-1,Line,192.0,0,0,100.0,0.0,0.007989,0.000115,0.0
1371-5111-1,Line,192.0,0,0,100.0,0.0,0.013316,0.000198,0.002041
1381-4721-1,Line,92.0,1,5,100.711321,3.556606,1.02987,0.000428,0.003081
1392-3842-1,Line,420.0,0,9,109.310653,46.553266,1.151401,0.001647,0.025491
1392-4943-1,Line,420.0,0,9,109.310653,46.553266,1.151374,0.001415,0.022741
1401-1661-1,Line,217.0,0,7,130.384188,58.337641,1.125673,0.001277,0.019531
1401-3691-1,Line,192.0,0,7,102.586285,6.659862,1.041557,0.001135,0.017379
1401-14010-1,Line,999.0,1,3,100.981163,2.510095,1.665335,0.000799,0.010243
1411-3081-1,Line,136.0,0,0,100.0,0.0,0.005326,0.000107,0.0
1411-3081-2,Line,136.0,0,0,100.0,0.0,0.005326,0.000107,0.0
1421-4651-1,Line,151.0,1,0,100.015116,0.087975,0.40472,0.000376,0.000981
1431-2651-1,Line,210.0,0,4,101.011979,5.191451,1.729425,0.000527,0.007897
1431-3261-1,Line,210.0,0,4,100.701085,4.444878,1.728093,0.000465,0.006571
1441-1501-1,Line,91.0,1,0,100.083196,0.415978,0.007995,0.000243,0.0
1441-2225-1,Line,210.0,0,2,100.34606,1.730301,1.566593,0.000486,0.005258
1441-14461-1,Line,123.0,1,0,100.0,0.0,0.013324,0.000235,0.002041
1441-15010-2,Line,91.0,1,0,100.0,0.0,0.00533,0.000194,0.0
1441-47210-1,Line,192.0,0,2,100.152679,0.763397,0.983943,0.000352,0.003438
1451-2041-1,Line,221.0,0,0,100.0,0.0,0.007989,0.000208,0.0
1461-14619-1,Line,159.0,1,3,100.552948,2.764741,1.029875,0.000414,0.002964
1471-1810-1,Line,229.0,0,0,100.0,0.0,0.010652,0.000147,0.00102
1471-1810-2,Line,229.0,0,0,100.0,0.0,0.010652,0.000147,0.00102
1471-3921-1,Line,420.0,0,0,100.0,0.0,0.007989,0.000162,0.0
1471-4101-1,Line,132.0,0,0,100.0,0.0,0.007989,0.000133,0.0
1472-2562-1,Line,457.0,0,2,141.643343,228.205521,1.067467,0.00035,0.004485
1472-5022-1,Line,570.0,0,1,103.716501,20.366427,0.862483,0.000239,0.002424
1472-14720-1,Line,593.0,1,11,104.327536,14.200949,1.461501,0.000639,0.011406
1474-5464-1,Line,1473.0,0,3,101.071019,6.790259,0.540275,0.000415,0.003867
1481-2001-1,Line,192.0,0,3,100.622136,1.250493,1.65525,0.00029,0.002353
1481-3401-1,Line,216.0,0,2,100.135231,0.676153,0.656581,0.000261,0.003438
1491-2181-1,Line,210.0,0,1,100.100699,0.193342,0.22631,0.000405,0.003555
1511-52610-1,Line,181.0,1,2,100.505569,0.535903,1.001217,0.000291,0.003425
1521-2401-1,Line,124.0,1,6,100.462333,2.311664,1.029904,0.000387,0.005986
1522-2042-1,Line,513.0,0,3,100.269347,1.707658,0.251582,0.000285,0.003295
1522-5462-1,Line,513.0,0,3,100.701699,4.448773,0.248919,0.000318,0.003373
1522-15220-1,Line,635.0,0,0,100.0,0.0,0.007989,0.000164,0.0
1522-15220-2,Line,635.0,0,0,100.0,0.0,0.007989,0.000164,0.0
1531-3801-1,Line,121.0,0,0,100.011862,0.05931,1.733204,0.000241,0.00273
1531-5481-1,Line,121.0,0,0,100.011862,0.05931,1.731872,0.000211,0.00076
1541-4321-1,Line,210.0,0,3,100.333482,1.804261,1.305477,0.000421,0.004582
1541-5291-1,Line,210.0,0,3,100.368799,1.843997,1.084659,0.00042,0.003887
1551-16011-1,Line,210.0,1,2,100.849998,0.900998,1.153007,0.000577,0.008436
1561-2861-1,Line,140.0,0,0,100.0,0.0,0.007989,0.000145,0.0
1561-2861-2,Line,140.0,0,0,100.0,0.0,0.007989,0.000131,0.0
1571-5191-1,Line,91.0,1,3,103.082575,3.791567,0.521273,0.000269,0.003893
1581-4491-1,Line,133.0,0,1,111.196881,12.764444,0.013316,0.000165,0.002041
1581-5521-1,Line,115.0,0,1,102.171384,2.475378,0.007989,0.000141,0.0
1591-3381-1,Line,210.0,0,3,100.959612,1.269119,1.030069,0.000747,0.011049
1591-4001-1,Line,210.0,0,3,100.959612,1.269119,1.030086,0.000792,0.011946
1601-1611-1,Line,190.0,0,2,100.696548,3.573292,0.618862,0.000647,0.009424
1601-2225-1,Line,210.0,0,0,100.031124,0.159668,0.216389,0.000207,0.001196
1601-3881-2,Line,191.0,0,0,100.026883,0.134417,0.950896,0.000256,0.001033
1601-16011-1,Line,210.0,0,0,100.03271,0.167801,0.436579,0.000226,0.000851
1602-3202-1,Line,751.0,0,3,103.421791,17.108953,1.154028,0.001015,0.019251
1611-3301-1,Line,210.0,0,2,100.696548,3.573292,0.619325,0.000646,0.008839
1621-3061-1,Line,217.0,0,2,100.401362,2.006811,1.15398,0.000648,0.008014
1621-3221-1,Line,201.0,0,2,100.351914,1.759572,1.154024,0.000426,0.006629
1631-2671-1,Line,210.0,1,6,101.046161,2.008629,1.130595,0.000421,0.005349
1631-5041-1,Line,210.0,0,2,100.981163,1.20683,0.610202,0.000601,0.009281
1631-10619-1,Line,210.0,0,4,105.307956,6.528786,1.040637,0.000806,0.009463
1641-1821-1,Line,210.0,0,5,100.572717,2.863585,1.130374,0.000811,0.010139
1641-2361-1,Line,210.0,0,5,101.565983,7.829913,1.002987,0.001209,0.018517
1641-2781-1,Line,210.0,0,0,100.0,0.0,0.09718,0.000207,0.002197
1641-2781-2,Line,210.0,0,0,100.0,0.0,0.127767,0.000214,0.002197
1641-2781-3,Line,210.0,0,0,100.0,0.0,0.127767,0.000214,0.002197
1641-4951-1,Line,105.0,0,1,138.670634,40.990872,0.181574,0.000167,0.000156
1641-16410-1,Line,124.0,1,1,100.232565,0.246519,0.013324,0.000154,0.002041
1641-16411-1,Line,123.0,0,1,100.745509,1.431378,1.033861,0.000361,0.003048
1641-16461-1,Line,123.0,1,0,100.0,0.0,0.00533,0.000122,0.0
1641-22811-1,Line,210.0,0,4,104.580702,8.794948,1.48019,0.000509,0.005024
1641-50019-1,Line,121.0,0,3,100.943084,1.810721,0.303141,0.000564,0.008956
1642-2522-1,Line,436.0,0,6,113.379383,25.688416,1.152705,0.00296,0.044722
1642-4522-1,Line,468.0,0,6,108.263463,41.317313,1.130069,0.001329,0.025406
1642-5172-1,Line,792.0,0,8,104.861916,24.309579,0.23658,0.000887,0.012544
1651-5261-1,Line,121.0,0,1,100.10671,0.547422,1.647573,0.00042,0.005083
1651-5281-1,Line,123.0,0,0,100.020139,0.103316,0.669222,0.000311,0.003451
1661-1821-1,Line,210.0,0,2,109.868057,18.94667,0.834023,0.000533,0.004823
1661-1951-1,Line,121.0,1,2,102.820279,5.414936,0.007995,0.000238,0.0
1661-2281-1,Line,210.0,0,4,102.648627,5.085363,1.508052,0.000548,0.006155
1661-16661-1,Line,123.0,1,0,100.0,0.0,0.007995,0.000146,0.0
1661-16662-1,Line,881.0,1,0,100.0,0.0,0.00533,0.000127,0.0
1671-1941-1,Line,140.0,1,6,100.511837,2.559184,1.029905,0.000349,0.005343
1681-3881-1,Line,210.0,0,2,100.367393,1.836963,1.157892,0.000406,0.004881
1681-32210-1,Line,210.0,0,2,100.367393,1.836963,1.157989,0.000401,0.006922
1691-5131-1,Line,116.0,1,1,100.559452,3.546929,0.007995,0.000242,0.0
1691-51319-1,Line,100.0,1,1,101.280172,8.116289,0.008,0.000262,0.0
1701-1761-1,Line,68.0,1,6,100.167048,0.73316,1.034559,0.00027,0.003048
1701-1981-1,Line,210.0,0,5,115.517701,19.086772,0.656569,0.000723,0.009951
1701-5041-1,Line,191.0,0,5,106.7447,8.295981,0.571933,0.000755,0.009314
1701-17010-1,Line,999.0,0,1,100.576502,0.709098,1.064889,0.000315,0.001573
1701-17061-1,Line,123.0,1,0,100.0,0.0,0.007995,0.000168,0.0
1701-28712-2,Line,210.0,0,1,100.926187,1.13921,1.232012,0.000367,0.003211
1711-3421-2,Line,114.0,1,0,100.0,0.0,0.00533,0.000147,0.0
1721-2161-1,Line,210.0,0,5,102.433691,12.168456,1.444705,0.001329,0.019674
1721-2391-1,Line,210.0,0,4,101.007063,2.962722,1.272934,0.001156,0.01424
1721-5381-1,Line,210.0,0,4,101.242813,6.214066,1.596726,0.001189,0.020181
1721-14619-1,Line,210.0,0,2,100.354711,1.773557,0.297104,0.000502,0.007929
1721-17261-1,Line,123.0,1,0,100.0,0.0,0.013324,0.000227,0.002041
1731-3421-1,Line,114.0,1,0,100.0,0.0,0.00533,0.000174,0.0
1741-1851-1,Line,123.0,1,1,101.651212,10.468687,0.007995,0.000239,0.0
1741-4511-1,Line,127.0,1,1,101.185112,7.513613,0.007995,0.000239,0.0
1741-51319-1,Line,159.0,1,1,101.281883,8.127139,0.008005,0.000281,0.0
1742-2202-1,Line,513.0,0,4,113.871053,87.942477,0.155604,0.000443,0.005304
1742-3122-1,Line,593.0,0,5,120.657216,72.300254,1.461816,0.000614,0.008878
1742-17420-1,Line,570.0,0,1,130.105263,171.6,0.499334,0.000107,6e-06
1742-17420-2,Line,570.0,0,1,130.105263,171.6,0.499334,0.000107,6e-06
1742-17462-1,Line,513.0,1,0,100.0,0.0,0.007995,0.000182,0.0
1791-4201-1,Line,159.0,0,5,100.766612,4.860321,0.711023,0.000372,0.004296
1791-4481-1,Line,210.0,0,5,100.766612,4.860321,0.71049,0.000415,0.003263
1801-4111-1,Line,133.0,0,0,100.0,0.0,0.005326,0.000137,0.0
1801-17411-1,Line,138.0,0,0,100.0,0.0,0.013316,0.000159,0.00102
1811-3431-1,Line,223.0,0,0,100.0,0.0,0.013316,0.000142,0.002041
1811-3471-1,Line,169.0,0,0,100.0,0.0,0.013316,0.000217,0.002041
1821-35011-1,Line,122.0,0,6,106.430455,12.346474,1.029672,0.000619,0.007461
1831-2091-1,Line,159.0,1,5,115.588434,16.52374,1.029874,0.000368,0.00208
1841-2351-1,Line,210.0,0,2,100.623714,3.199651,0.804215,0.000434,0.004134
1841-5291-1,Line,210.0,0,3,100.250423,1.252117,1.307329,0.000431,0.004927
1841-5501-1,Line,210.0,0,4,101.36907,8.415074,0.58274,0.000502,0.006265
1861-2521-1,Line,121.0,0,1,117.860317,21.610983,0.197789,0.000239,0.000578
1861-2521-2,Line,121.0,0,1,117.62426,21.325355,0.202587,0.000221,0.001599
1861-10619-1,Line,210.0,0,4,105.889439,7.244009,1.408678,0.000811,0.010588
