outage,hour,n_over,worst_pct,nothing_lost,nothing_rounds,nothing_cut,nothing_islanded,nothing_runaway,eir_lost,eir_rounds,eir_cut,eir_islanded,eir_runaway,veto_lost,veto_rounds,veto_cut,veto_islanded,veto_runaway,lp_lost,lp_rounds,lp_cut,lp_islanded,lp_runaway
5211-22613-1,156,3,100.51,3,1,0.0,1,0,2,1,4.1,1,0,0,1,5.3,0,0,0,1,2.6,0,0
3554-39444-1,142,5,115.02,5,1,0.0,1,0,0,1,459.7,0,0,0,1,474.0,0,0,0,1,336.3,0,0
3209-6931-1,158,3,101.44,3,1,0.0,1,0,0,1,47.3,0,0,0,1,67.9,0,0,0,1,32.5,0,0
1981-79016-1,23,3,108.05,3,1,0.0,1,0,1,2,72.8,0,0,1,2,20.6,0,0,0,1,24.4,0,0
T79010-79015-1,1,3,108.46,3,1,0.0,1,0,1,2,72.1,0,0,1,2,20.6,0,0,0,1,21.7,0,0
28710-28712-1,3,3,106.74,3,1,0.0,1,0,1,2,59.1,0,0,0,1,14.7,0,0,0,1,14.7,0,0
T1742-17431-1,101,1,106.43,4,2,0.0,1,0,0,1,192.6,0,0,0,1,106.0,0,0,0,1,72.2,0,0
4242-4462-1,26,1,158.85,2,2,0.0,0,0,4,1,884.6,1,0,1,2,23.7,0,0,0,1,403.1,0,0
T4384-4382-43821-1-w1,104,3,107.78,3,1,0.0,1,0,1,2,62.7,0,0,0,1,18.3,0,0,0,1,18.3,0,0
3934-3944-1,156,5,139.32,5,1,0.0,1,0,1,2,1207.1,0,0,2,1,951.4,1,0,0,1,739.1,0,0
1251-2361-1,103,3,101.6,3,1,0.0,1,0,1,2,85.4,0,0,0,1,86.9,0,0,0,1,36.0,0,0
3934-3944-1,141,3,102.84,3,1,0.0,1,0,2,1,76.3,1,0,0,1,107.1,0,0,0,1,52.5,0,0
2522-3522-1,158,6,114.3,6,1,0.0,1,0,0,1,155.8,0,0,3,1,386.0,1,0,0,1,95.9,0,0
3554-39444-1,141,5,110.48,5,1,0.0,1,0,0,1,322.3,0,0,0,1,330.2,0,0,0,1,239.1,0,0
4121-23019-1,156,3,100.61,3,1,0.0,1,0,2,1,5.4,1,0,0,1,7.0,0,0,0,1,3.5,0,0
4472-30820-2,29,1,113.52,9,3,0.0,1,0,2,2,223.5,0,0,8,3,20.6,1,0,0,1,112.9,0,0
3571-4481-1,103,5,102.08,5,1,0.0,1,0,0,1,74.7,0,0,0,1,193.1,0,0,0,1,52.0,0,0
T1212-1211-12121-1-w2,155,1,136.82,1,1,0.0,1,0,2,2,130.0,1,0,1,1,20.6,1,0,1,1,92.2,1,0
T3954-3942-39421-2-w1,103,5,131.8,5,1,0.0,1,0,2,2,1994.9,0,0,3,1,572.0,1,0,0,1,603.5,0,0
2870-2871-1,28,2,130.92,2,1,0.0,1,0,1,2,198.9,0,0,2,1,20.6,1,0,0,1,116.4,0,0
4472-30820-1,23,1,119.4,9,3,0.0,1,0,2,2,306.3,0,0,10,3,20.6,1,0,0,1,162.1,0,0
T4384-4382-43821-1-w1,23,3,107.1,3,1,0.0,1,0,1,2,68.9,0,0,1,2,20.6,0,0,0,1,22.5,0,0
T3464-3462-34641-1-w1,156,4,142.44,4,1,0.0,1,0,0,1,1084.9,0,0,3,1,731.6,1,0,1,2,1415.6,0,0
4242-4462-1,29,1,156.1,2,2,0.0,0,0,4,1,820.8,1,0,1,2,20.9,0,0,0,1,386.4,0,0
4664-43844-1,142,3,107.65,3,1,0.0,1,0,1,2,67.7,0,0,1,1,20.6,0,0,0,1,21.0,0,0
1591-3381-1,156,3,100.42,3,1,0.0,1,0,2,1,2.1,1,0,0,1,3.4,0,0,0,1,1.2,0,0
35231-90020-1,103,5,103.24,5,1,0.0,1,0,0,1,20.6,0,0,0,1,184.9,0,0,0,1,9.5,0,0
4471-4651-4,75,2,107.18,2,1,0.0,1,0,2,1,0.0,1,0,1,1,417.9,1,0,0,1,539.7,0,0
2002-3203-1,107,4,104.8,4,1,0.0,1,0,2,1,154.3,1,0,0,1,371.1,0,0,0,1,112.3,0,0
4242-4462-1,4,1,151.49,2,2,0.0,0,0,4,1,745.0,1,0,2,2,20.6,0,0,0,1,354.2,0,0
2563-4242-1,136,1,105.52,1,1,0.0,0,0,3,2,121.6,1,0,1,2,23.0,0,0,0,1,37.1,0,0
2870-2871-1,156,4,132.88,4,1,0.0,1,0,1,2,234.7,0,0,2,1,20.6,1,0,1,2,122.9,0,0
