outage,hour,out_s,hit,hit_s,worst_pct,n_over,eir_lost,eir_rounds,eir_caused,eir_islands,eir_cut,eir_all_lines,eir_min_s,veto_lost,veto_cut,veto_rounds,nothing_lost,nothing_islands,size,chain
2204-5464-1,101,1473.0,4664-43844-1,997.0,100.38,2,0,1,0,0,13.6,1,0.0,0,10.4,1,17,1,997.0,
2204-22044-1,12,1847.0,4664-43844-1,997.0,107.48,5,0,1,0,0,258.7,1,0.0,0,243.2,1,15,1,997.0,
2204-22044-1,36,1847.0,4664-43844-1,997.0,102.7,3,0,1,0,0,101.5,1,0.0,0,64.3,1,13,1,997.0,
2204-22044-1,46,1847.0,4664-43844-1,997.0,115.29,5,0,1,0,0,568.1,1,0.0,0,399.0,1,14,1,997.0,
2204-22044-1,51,1847.0,4664-43844-1,997.0,127.07,5,0,1,0,0,1006.4,1,0.0,0,745.4,1,14,1,997.0,
2204-22044-1,53,1847.0,4664-43844-1,997.0,131.93,3,0,1,0,0,1182.5,1,0.0,0,863.1,1,11,1,997.0,
2204-22044-1,56,1847.0,4664-43844-1,997.0,131.31,5,0,1,0,0,1227.6,1,0.0,0,841.2,1,14,1,997.0,
2204-22044-1,57,1847.0,4664-43844-1,997.0,121.94,5,0,1,0,0,854.7,1,0.0,0,580.4,1,14,1,997.0,
2204-22044-1,58,1847.0,4664-43844-1,997.0,110.97,5,0,1,0,0,422.7,1,0.0,0,299.9,1,14,1,997.0,
2204-22044-1,59,1847.0,4664-43844-1,997.0,106.5,5,0,1,0,0,262.6,1,0.0,0,223.3,1,15,1,997.0,
2204-22044-1,61,1847.0,4664-43844-1,997.0,129.13,5,0,1,0,0,1103.4,1,0.0,0,780.8,1,14,1,997.0,
2204-22044-1,62,1847.0,4664-43844-1,997.0,127.75,5,0,1,0,0,1063.0,1,0.0,0,734.0,1,14,1,997.0,
2204-22044-1,64,1847.0,4664-43844-1,997.0,106.24,5,0,1,0,0,265.5,1,0.0,0,176.4,1,14,1,997.0,
2204-22044-1,65,1847.0,4664-43844-1,997.0,118.23,6,0,1,0,0,716.6,1,0.0,0,517.9,1,14,1,997.0,
2204-22044-1,66,1847.0,4664-43844-1,997.0,115.84,5,0,1,0,0,602.0,1,0.0,0,432.4,1,14,1,997.0,
2204-22044-1,67,1847.0,4664-43844-1,997.0,117.39,5,0,1,0,0,602.7,1,0.0,0,476.5,1,14,1,997.0,
