outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,solo_cleared,solo_mw,solo_nodes,solo_new_overloads,solo_new_MW,solo_worsened,solo_resid_MW,solo_worst_new_pct,solo_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1021-2121-1,3,False,Line,1,3581-89516-1,Line,0.153,100.12,6415.3,1,0.086,9,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,17,False,Line,1,3581-89516-1,Line,0.127,100.1,5427.5,1,0.012,12,0,0.0,0,0.0,0.0,100.1,1,0.009,1,0,0.0,0,0.0,0.0,100.1,1,0.009,1,0,0.0,0,0.0,0.0,100.1,1,0.009,1,0,0.0,0,0.0,0.0,100.1,1,0.009,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,18,False,Line,1,3581-89516-1,Line,0.152,100.12,5114.4,1,0.084,9,0,0.0,0,0.0,0.0,100.1,1,0.071,1,0,0.0,0,0.0,0.0,100.1,1,0.071,1,0,0.0,0,0.0,0.0,100.1,1,0.071,1,0,0.0,0,0.0,0.0,100.1,1,0.071,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,23,False,Line,1,3581-89516-1,Line,0.16,100.13,4861.7,1,0.113,7,0,0.0,0,0.0,0.0,100.1,1,0.097,1,0,0.0,0,0.0,0.0,100.1,1,0.097,1,0,0.0,0,0.0,0.0,100.1,1,0.097,1,0,0.0,0,0.0,0.0,100.1,1,0.097,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,24,False,Line,1,3581-89516-1,Line,0.155,100.13,5301.4,1,0.094,8,0,0.0,0,0.0,0.0,100.1,1,0.078,1,0,0.0,0,0.0,0.0,100.1,1,0.078,1,0,0.0,0,0.0,0.0,100.1,1,0.078,1,0,0.0,0,0.0,0.0,100.1,1,0.078,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,27,False,Line,1,3581-89516-1,Line,0.139,100.11,6312.7,1,0.047,8,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,28,False,Line,1,3581-89516-1,Line,0.153,100.12,6215.6,1,0.097,10,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1,0.072,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,29,False,Line,1,3581-89516-1,Line,0.18,100.15,5968.4,1,0.181,10,0,0.0,0,0.0,0.0,100.1,1,0.137,1,0,0.0,0,0.0,0.0,100.1,1,0.137,1,0,0.0,0,0.0,0.0,100.1,1,0.137,1,0,0.0,0,0.0,0.0,100.1,1,0.137,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,30,False,Line,1,3581-89516-1,Line,0.208,100.17,5940.2,1,0.22,13,0,0.0,0,0.0,0.0,100.1,1,0.166,1,0,0.0,0,0.0,0.0,100.1,1,0.166,1,0,0.0,0,0.0,0.0,100.1,1,0.166,1,0,0.0,0,0.0,0.0,100.1,1,0.166,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,40,False,Line,1,1122-1742-1,Line,0.767,100.15,4672.8,1,1.138,42,0,0.0,0,0.0,0.0,100.1,1,0.452,1,0,0.0,0,0.0,0.0,100.1,1,0.452,1,0,0.0,0,0.0,0.0,100.1,1,0.452,1,0,0.0,0,0.0,0.0,100.1,1,0.452,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,51,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.249,100.12,5314.8,1,0.876,63,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,52,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.307,100.13,5234.7,1,1.081,63,0,0.0,0,0.0,0.0,100.1,1,0.748,1,0,0.0,0,0.0,0.0,100.1,1,0.748,1,0,0.0,0,0.0,0.0,100.1,1,0.748,1,0,0.0,0,0.0,0.0,100.1,1,0.748,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,53,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.078,100.11,4676.2,1,0.271,63,0,0.0,0,0.0,0.0,100.1,1,0.189,1,0,0.0,0,0.0,0.0,100.1,1,0.189,1,0,0.0,0,0.0,0.0,100.1,1,0.189,1,0,0.0,0,0.0,0.0,100.1,1,0.189,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,54,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.012,100.1,5061.3,1,0.043,61,0,0.0,0,0.0,0.0,100.1,1,0.029,1,0,0.0,0,0.0,0.0,100.1,1,0.029,1,0,0.0,0,0.0,0.0,100.1,1,0.029,1,0,0.0,0,0.0,0.0,100.1,1,0.029,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,99,False,Line,1,1122-1742-1,Line,0.667,100.13,5385.8,1,0.704,42,0,0.0,0,0.0,0.0,100.1,1,0.275,1,0,0.0,0,0.0,0.0,100.1,1,0.275,1,0,0.0,0,0.0,0.0,100.1,1,0.275,1,0,0.0,0,0.0,0.0,100.1,1,0.275,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,100,False,Line,1,1122-1742-1,Line,0.722,100.14,5526.5,1,0.999,42,0,0.0,0,0.0,0.0,100.1,1,0.371,1,0,0.0,0,0.0,0.0,100.1,1,0.371,1,0,0.0,0,0.0,0.0,100.1,1,0.371,1,0,0.0,0,0.0,0.0,100.1,1,0.371,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,108,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.001,100.1,7006.9,1,0.003,61,0,0.0,0,0.0,0.0,100.1,1,0.002,1,0,0.0,0,0.0,0.0,100.1,1,0.002,1,0,0.0,0,0.0,0.0,100.1,1,0.002,1,0,0.0,0,0.0,0.0,100.1,1,0.002,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,109,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.114,100.11,6746.1,1,0.401,60,0,0.0,0,0.0,0.0,100.1,1,0.277,1,0,0.0,0,0.0,0.0,100.1,1,0.277,1,0,0.0,0,0.0,0.0,100.1,1,0.277,1,0,0.0,0,0.0,0.0,100.1,1,0.277,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,114,False,Line,1,3581-89516-1,Line,0.125,100.1,5115.9,1,0.006,6,0,0.0,0,0.0,0.0,100.1,1,0.005,1,0,0.0,0,0.0,0.0,100.1,1,0.005,1,0,0.0,0,0.0,0.0,100.1,1,0.005,1,0,0.0,0,0.0,0.0,100.1,1,0.005,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,118,False,Line,1,3581-89516-1,Line,0.162,100.13,4463.0,1,0.114,8,0,0.0,0,0.0,0.0,100.1,1,0.095,1,0,0.0,0,0.0,0.0,100.1,1,0.095,1,0,0.0,0,0.0,0.0,100.1,1,0.095,1,0,0.0,0,0.0,0.0,100.1,1,0.095,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,121,False,Line,1,3581-89516-1,Line,0.134,100.11,5466.9,1,0.03,10,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,136,False,Line,1,3581-89516-1,Line,0.13,100.11,5378.8,1,0.03,11,0,0.0,0,0.0,0.0,100.1,1,0.016,1,0,0.0,0,0.0,0.0,100.1,1,0.016,1,0,0.0,0,0.0,0.0,100.1,1,0.016,1,0,0.0,0,0.0,0.0,100.1,1,0.016,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,137,False,Line,1,3581-89516-1,Line,0.132,100.11,5053.5,1,0.031,11,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1,0.022,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,138,False,Line,1,3581-89516-1,Line,0.14,100.11,4944.5,1,0.051,8,0,0.0,0,0.0,0.0,100.1,1,0.042,1,0,0.0,0,0.0,0.0,100.1,1,0.042,1,0,0.0,0,0.0,0.0,100.1,1,0.042,1,0,0.0,0,0.0,0.0,100.1,1,0.042,1,0,0.0,0,0.0,0.0,100.1,1
