outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,solo_cleared,solo_mw,solo_nodes,solo_new_overloads,solo_new_MW,solo_worsened,solo_resid_MW,solo_worst_new_pct,solo_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1021-2341-1,46,True,Line,1,3581-89516-1,Line,0.219,100.18,4009.7,1,0.397,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,58,True,Line,1,3581-89516-1,Line,0.219,100.18,4583.8,1,0.453,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,63,True,Line,1,3581-89516-1,Line,0.219,100.18,5312.6,1,0.526,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,64,True,Line,1,3581-89516-1,Line,0.219,100.18,4970.6,1,0.51,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,73,True,Line,1,3581-89516-1,Line,0.219,100.18,4147.8,1,0.42,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,75,True,Line,1,3581-89516-1,Line,0.219,100.18,4194.8,1,0.419,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,79,True,Line,1,3581-89516-1,Line,0.219,100.18,2728.8,1,0.401,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,90,True,Line,1,3581-89516-1,Line,0.219,100.18,3426.9,1,0.407,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,91,True,Line,1,3581-89516-1,Line,0.219,100.18,4065.6,1,0.415,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,92,True,Line,1,3581-89516-1,Line,0.219,100.18,4347.7,1,0.388,26,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1,0.187,1,0,0.0,0,0.0,0.0,100.1,1
