outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1021-2341-1,58,True,Line,1,3581-89516-1,Line,0.219,100.18,4583.8,1,0.471,26,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,79,True,Line,1,3581-89516-1,Line,0.219,100.18,2728.8,1,0.415,26,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,94,True,Line,1,3581-89516-1,Line,0.219,100.18,5470.0,1,0.399,26,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1
1021-2341-1,145,True,Line,1,3581-89516-1,Line,0.219,100.18,4124.9,1,0.371,26,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1,0.19,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,0,True,Line,2,2781-4951-1,Line,2.538,101.24,5299.5,0,4.229,17,0,0.0,0,0.122,0.0,100.12,1,3.645,2,0,0.0,0,0.0,0.0,100.1,0,1.491,1,0,0.0,0,1.204,0.0,100.98,1,3.645,2,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,7,True,Line,1,3581-89516-1,Line,1.223,100.99,6073.6,1,2.909,16,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1,2.177,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,14,True,Line,1,1122-11260-1,Line,0.592,100.12,6309.0,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,21,True,Line,1,3581-89516-1,Line,1.223,100.99,4735.3,1,3.086,7,0,0.0,0,0.0,0.0,100.1,1,2.722,1,0,0.0,0,0.0,0.0,100.1,1,2.722,1,0,0.0,0,0.0,0.0,100.1,1,2.722,1,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,29,True,Line,2,2781-4951-1,Line,2.538,101.24,5968.4,0,5.045,15,0,0.0,0,0.127,0.0,100.12,1,4.184,3,0,0.0,0,0.0,0.0,100.1,0,1.491,2,0,0.0,0,1.204,0.0,100.98,1,4.183,2,0,0.0,0,0.0,0.0,100.1,1
1042-10422-1,36,True,Line,1,1122-11260-1,Line,0.592,100.12,6805.4,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1,0.079,1,0,0.0,0,0.0,0.0,100.1,1
