outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1021-2121-1,29,False,Line,1,3581-89516-1,Line,0.18,100.15,5968.4,1,0.186,10,0,0.0,0,0.0,0.0,100.1,1,0.14,1,0,0.0,0,0.0,0.0,100.1,1,0.14,1,0,0.0,0,0.0,0.0,100.1,1,0.14,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,108,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.001,100.1,7006.9,1,0.003,54,0,0.0,0,0.0,0.0,100.1,1,0.003,1,0,0.0,0,0.0,0.0,100.1,1,0.003,1,0,0.0,0,0.0,0.0,100.1,1,0.002,1,0,0.0,0,0.0,0.0,100.1,1
1021-2121-1,137,False,Line,1,3581-89516-1,Line,0.132,100.11,5053.5,1,0.032,11,0,0.0,0,0.0,0.0,100.1,1,0.023,1,0,0.0,0,0.0,0.0,100.1,1,0.023,1,0,0.0,0,0.0,0.0,100.1,1,0.023,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,0,False,Line,1,3581-89516-1,Line,0.204,100.17,5299.5,1,0.205,13,0,0.0,0,0.0,0.0,100.1,1,0.16,1,0,0.0,0,0.0,0.0,100.1,1,0.16,1,0,0.0,0,0.0,0.0,100.1,1,0.16,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,7,False,Line,1,3581-89516-1,Line,0.18,100.15,6073.6,1,0.151,16,0,0.0,0,0.0,0.0,100.1,1,0.113,1,0,0.0,0,0.0,0.0,100.1,1,0.113,1,0,0.0,0,0.0,0.0,100.1,1,0.113,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,21,False,Line,1,3581-89516-1,Line,0.187,100.15,4735.3,1,0.179,7,0,0.0,0,0.0,0.0,100.1,1,0.158,1,0,0.0,0,0.0,0.0,100.1,1,0.158,1,0,0.0,0,0.0,0.0,100.1,1,0.158,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,29,False,Line,1,3581-89516-1,Line,0.239,100.19,5968.4,1,0.38,10,0,0.0,0,0.0,0.0,100.1,1,0.286,1,0,0.0,0,0.0,0.0,100.1,1,0.286,1,0,0.0,0,0.0,0.0,100.1,1,0.286,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,123,False,Line,1,3581-89516-1,Line,0.179,100.15,5593.8,1,0.15,13,0,0.0,0,0.0,0.0,100.1,1,0.112,1,0,0.0,0,0.0,0.0,100.1,1,0.112,1,0,0.0,0,0.0,0.0,100.1,1,0.112,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,130,False,Line,1,3581-89516-1,Line,0.165,100.13,5592.5,1,0.112,13,0,0.0,0,0.0,0.0,100.1,1,0.084,1,0,0.0,0,0.0,0.0,100.1,1,0.084,1,0,0.0,0,0.0,0.0,100.1,1,0.084,1,0,0.0,0,0.0,0.0,100.1,1
1021-2361-1,137,False,Line,1,3581-89516-1,Line,0.213,100.17,5053.5,1,0.317,11,0,0.0,0,0.0,0.0,100.1,1,0.224,1,0,0.0,0,0.0,0.0,100.1,1,0.224,1,0,0.0,0,0.0,0.0,100.1,1,0.224,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,0,False,Line,1,3581-89516-1,Line,0.198,100.16,5299.5,1,0.188,13,0,0.0,0,0.0,0.0,100.1,1,0.147,1,0,0.0,0,0.0,0.0,100.1,1,0.147,1,0,0.0,0,0.0,0.0,100.1,1,0.147,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,21,False,Line,1,3581-89516-1,Line,0.203,100.17,4735.3,1,0.223,7,0,0.0,0,0.0,0.0,100.1,1,0.197,1,0,0.0,0,0.0,0.0,100.1,1,0.197,1,0,0.0,0,0.0,0.0,100.1,1,0.197,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,50,False,Line,1,3581-89516-1,Line,0.267,100.22,5312.4,1,0.714,26,0,0.0,0,0.0,0.0,100.1,1,0.283,1,0,0.0,0,0.0,0.0,100.1,1,0.283,1,0,0.0,0,0.0,0.0,100.1,1,0.283,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,58,False,Line,1,3581-89516-1,Line,1.906,101.55,4583.8,1,8.653,26,0,0.0,0,0.0,0.0,100.1,1,3.517,1,0,0.0,0,0.0,0.0,100.1,1,3.517,1,0,0.0,0,0.0,0.0,100.1,1,3.517,2,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,65,False,Line,1,3581-89516-1,Line,1.226,101.0,5388.6,1,7.373,22,0,0.0,0,0.0,0.0,100.1,1,2.317,1,0,0.0,0,0.0,0.0,100.1,1,2.317,1,0,0.0,0,0.0,0.0,100.1,1,2.317,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,72,False,Line,1,3581-89516-1,Line,1.18,100.96,5745.9,1,6.418,19,0,0.0,0,0.0,0.0,100.1,1,2.601,1,0,0.0,0,0.0,0.0,100.1,1,2.601,1,0,0.0,0,0.0,0.0,100.1,1,2.601,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,79,False,Line,1,3581-89516-1,Line,0.707,100.57,2728.8,1,2.499,26,0,0.0,0,0.0,0.0,100.1,1,1.151,1,0,0.0,0,0.0,0.0,100.1,1,1.151,1,0,0.0,0,0.0,0.0,100.1,1,1.151,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,94,False,Line,1,3581-89516-1,Line,0.576,100.47,5470.0,1,1.867,26,0,0.0,0,0.0,0.0,100.1,1,0.893,1,0,0.0,0,0.0,0.0,100.1,1,0.893,1,0,0.0,0,0.0,0.0,100.1,1,0.893,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,108,False,Line,1,3581-89516-1,Line,0.536,100.44,7006.9,1,1.919,20,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,123,False,Line,1,3581-89516-1,Line,0.966,100.79,5593.8,1,2.228,13,0,0.0,0,0.0,0.0,100.1,1,1.662,1,0,0.0,0,0.0,0.0,100.1,1,1.662,1,0,0.0,0,0.0,0.0,100.1,1,1.662,1,0,0.0,0,0.0,0.0,100.1,1
