arm,outage,hour,broken,kind,s_nom,loading_pct,over_MW
ovl,1031-1181-1,157,2781-4951-1,Line,106.0,100.14,0.15
eir,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,500.0,100.1,0.5
eir,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,500.0,100.1,0.5
ovl,1031-1181-1,158,T3464-3462-34641-1-w1,Transformer,500.0,100.11,0.53
ovl,1031-1181-1,158,T3464-3462-34641-1-w2,Transformer,500.0,100.11,0.53
ovl,1031-4221-1,157,2781-4951-1,Line,106.0,100.14,0.15
eir,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,500.0,100.1,0.5
eir,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,500.0,100.1,0.5
ovl,1031-4221-1,158,T3464-3462-34641-1-w1,Transformer,500.0,100.11,0.53
ovl,1031-4221-1,158,T3464-3462-34641-1-w2,Transformer,500.0,100.11,0.53
ovl,1042-10422-1,9,2781-4951-1,Line,106.0,100.19,0.2
ovl,1071-4941-1,103,2781-4951-1,Line,106.0,100.29,0.31
ovl,1071-4941-1,155,2781-4951-1,Line,106.0,100.12,0.12
ovl,1071-4941-1,156,2781-4951-1,Line,106.0,100.12,0.13
ovl,1071-4941-1,157,2781-4951-1,Line,106.0,100.11,0.12
ovl,1071-4941-1,158,2781-4951-1,Line,106.0,100.11,0.11
ovl,1122-1742-1,103,2781-4951-1,Line,106.0,100.36,0.38
eir,1122-1742-1,107,2781-4951-1,Line,106.0,100.17,0.18
ovl,1122-1742-1,107,2781-4951-1,Line,106.0,100.18,0.19
ovl,1122-1742-1,155,2781-4951-1,Line,106.0,100.28,0.29
ovl,1122-1742-1,156,2781-4951-1,Line,106.0,100.31,0.33
ovl,1122-1742-1,157,2781-4951-1,Line,106.0,100.33,0.35
ovl,1122-1742-1,158,2781-4951-1,Line,106.0,100.36,0.39
ovl,1122-3642-1,155,2781-4951-1,Line,106.0,100.11,0.12
ovl,1122-3642-1,156,2781-4951-1,Line,106.0,100.22,0.23
ovl,1122-3642-1,157,2781-4951-1,Line,106.0,100.11,0.11
eir,1122-11260-1,150,2781-4951-1,Line,106.0,100.14,0.15
ovl,1122-11260-1,150,2781-4951-1,Line,106.0,100.12,0.13
ovl,1141-3501-1,103,2781-4951-1,Line,106.0,100.21,0.23
ovl,1141-4941-1,103,2781-4951-1,Line,106.0,100.26,0.27
ovl,1161-1781-1,103,2781-4951-1,Line,106.0,100.39,0.41
ovl,1181-1861-1,103,2781-4951-1,Line,106.0,100.19,0.2
eir,1181-1861-1,136,2781-4951-1,Line,106.0,100.11,0.11
ovl,1181-1861-1,155,2781-4951-1,Line,106.0,100.15,0.15
ovl,1181-1861-1,156,2781-4951-1,Line,106.0,100.13,0.14
ovl,1181-1861-1,157,2781-4951-1,Line,106.0,100.15,0.16
ovl,1181-1861-1,158,2781-4951-1,Line,106.0,100.15,0.15
ovl,1212-1602-1,103,2781-4951-1,Line,106.0,100.62,0.66
ovl,1212-1602-1,155,2781-4951-1,Line,106.0,100.41,0.43
ovl,1212-1602-1,156,2781-4951-1,Line,106.0,100.44,0.47
ovl,1212-1602-1,157,2781-4951-1,Line,106.0,100.35,0.38
ovl,1212-1602-1,158,2781-4951-1,Line,106.0,100.25,0.26
ovl,1212-3332-1,37,3581-89516-1,Line,123.0,100.13,0.16
ovl,1212-3332-1,50,3581-89516-1,Line,123.0,100.12,0.14
ovl,1212-3332-1,55,3581-89516-1,Line,123.0,100.13,0.16
eir,1251-2361-1,103,2781-4951-1,Line,106.0,100.23,0.24
ovl,1251-2361-1,103,2781-4951-1,Line,106.0,100.17,0.18
eir,1251-2361-1,155,2781-4951-1,Line,106.0,100.23,0.24
ovl,1251-2361-1,155,2781-4951-1,Line,106.0,100.17,0.18
eir,1251-2361-1,156,2781-4951-1,Line,106.0,100.25,0.26
ovl,1251-2361-1,156,2781-4951-1,Line,106.0,100.18,0.19
eir,1251-2361-1,157,2781-4951-1,Line,106.0,100.23,0.24
ovl,1251-2361-1,157,2781-4951-1,Line,106.0,100.16,0.17
eir,1251-2361-1,158,2781-4951-1,Line,106.0,100.25,0.27
ovl,1251-2361-1,158,2781-4951-1,Line,106.0,100.18,0.19
ovl,1301-17411-1,108,3581-89516-1,Line,123.0,100.1,0.13
ovl,1331-2041-1,54,3581-89516-1,Line,123.0,100.33,0.4
ovl,1331-2041-1,103,3691-4041-1,Line,192.0,100.16,0.3
ovl,1331-2041-1,108,3691-4041-1,Line,192.0,100.14,0.26
ovl,1331-2041-1,156,2781-4951-1,Line,106.0,100.16,0.17
ovl,1331-4001-1,54,3581-89516-1,Line,123.0,100.33,0.41
ovl,1331-4001-1,99,1122-1742-1,Line,513.0,100.1,0.53
ovl,1331-4001-1,103,3691-4041-1,Line,192.0,100.15,0.29
ovl,1331-4001-1,108,3691-4041-1,Line,192.0,100.13,0.24
ovl,1331-4001-1,156,2781-4951-1,Line,106.0,100.16,0.17
eir,1341-1701-1,121,2781-4951-1,Line,106.0,100.12,0.12
eir,1341-1701-1,131,2781-4951-1,Line,106.0,100.11,0.12
eir,1341-1701-1,142,2781-4951-1,Line,106.0,100.11,0.12
ovl,1361-2001-1,103,2781-4951-1,Line,106.0,100.32,0.34
ovl,1361-2001-1,155,2781-4951-1,Line,106.0,100.18,0.19
ovl,1361-2001-1,156,2781-4951-1,Line,106.0,100.3,0.32
ovl,1361-2001-1,157,2781-4951-1,Line,106.0,100.17,0.18
ovl,1361-2001-1,158,2781-4951-1,Line,106.0,100.16,0.17
ovl,1361-2161-1,103,2781-4951-1,Line,106.0,100.34,0.37
ovl,1361-2161-1,155,2781-4951-1,Line,106.0,100.21,0.22
ovl,1361-2161-1,156,2781-4951-1,Line,106.0,100.33,0.35
ovl,1361-2161-1,157,2781-4951-1,Line,106.0,100.2,0.22
