arm,outage,hour,broken,kind,s_nom,loading_pct,over_MW
eir,1031-1181-1,159,T3464-3462-34641-1-w1,Transformer,500.0,100.11,0.56
eir,1031-1181-1,159,T3464-3462-34641-1-w2,Transformer,500.0,100.11,0.55
ovl,1031-1181-1,159,T3464-3462-34641-1-w1,Transformer,500.0,100.11,0.54
ovl,1031-1181-1,159,T3464-3462-34641-1-w2,Transformer,500.0,100.11,0.53
eir,1031-4221-1,159,T3464-3462-34641-1-w1,Transformer,500.0,100.11,0.56
eir,1031-4221-1,159,T3464-3462-34641-1-w2,Transformer,500.0,100.11,0.55
ovl,1031-4221-1,159,T3464-3462-34641-1-w1,Transformer,500.0,100.11,0.54
ovl,1031-4221-1,159,T3464-3462-34641-1-w2,Transformer,500.0,100.11,0.53
ovl,1042-10422-1,72,T89510-89515-1,Transformer,125.0,100.9,1.12
ovl,1042-10422-1,108,T89510-89515-1,Transformer,125.0,100.89,1.11
eir,1121-1301-1,159,3581-89516-1,Line,123.0,100.11,0.13
ovl,1121-1301-1,159,3581-89516-1,Line,123.0,100.1,0.12
eir,1122-1742-1,50,T89510-89515-1,Transformer,125.0,100.83,1.04
ovl,1122-1742-1,50,T89510-89515-1,Transformer,125.0,100.46,0.57
eir,1122-1742-1,65,T89510-89515-1,Transformer,125.0,100.28,0.35
eir,1122-1742-1,108,T89510-89515-1,Transformer,125.0,100.72,0.9
eir,1122-11260-1,50,T3464-3462-34641-1-w1,Transformer,500.0,100.12,0.58
eir,1212-1602-1,108,3581-89516-1,Line,123.0,100.3,0.37
ovl,1212-1602-1,108,3581-89516-1,Line,123.0,100.24,0.29
eir,1212-1602-1,159,3581-89516-1,Line,123.0,100.48,0.58
ovl,1212-1602-1,159,3581-89516-1,Line,123.0,100.38,0.47
eir,1212-3332-1,50,3581-89516-1,Line,123.0,100.69,0.85
ovl,1212-3332-1,50,3581-89516-1,Line,123.0,100.43,0.53
eir,1301-17411-1,108,3581-89516-1,Line,123.0,100.45,0.55
ovl,1301-17411-1,108,3581-89516-1,Line,123.0,100.36,0.44
ovl,1331-2041-1,108,3691-4041-1,Line,192.0,100.15,0.28
eir,1331-4001-1,50,3082-3122-1,Line,634.0,100.1,0.64
ovl,1331-4001-1,108,3691-4041-1,Line,192.0,100.14,0.26
eir,1351-4081-1,50,3581-89516-1,Line,123.0,100.11,0.14
ovl,1351-4081-1,50,3581-89516-1,Line,123.0,100.1,0.13
eir,1351-4201-1,50,3581-89516-1,Line,123.0,100.13,0.16
ovl,1351-4201-1,50,3581-89516-1,Line,123.0,100.12,0.14
eir,1392-3842-1,101,1122-11260-1,Line,513.0,100.14,0.71
eir,1392-3842-1,108,1122-11260-1,Line,513.0,100.14,0.74
ovl,1392-3842-1,108,1122-11260-1,Line,513.0,100.12,0.64
eir,1392-4943-1,101,1122-11260-1,Line,513.0,100.14,0.71
eir,1392-4943-1,108,1122-11260-1,Line,513.0,100.14,0.74
ovl,1392-4943-1,108,1122-11260-1,Line,513.0,100.12,0.63
eir,1472-2562-1,0,2781-4951-1,Line,106.0,102.6,2.76
eir,1472-2562-1,0,3581-89516-1,Line,123.0,104.22,5.19
eir,1472-2562-1,0,T89510-89515-1,Transformer,125.0,104.04,5.05
eir,1472-2562-1,0,T89515-89516-1,Transformer,125.0,103.04,3.81
ovl,1472-2562-1,0,2781-4951-1,Line,106.0,101.24,1.31
ovl,1472-2562-1,0,3581-89516-1,Line,123.0,102.11,2.59
ovl,1472-2562-1,0,T89510-89515-1,Transformer,125.0,101.18,1.48
ovl,1472-2562-1,0,T89515-89516-1,Transformer,125.0,100.71,0.89
eir,1472-2562-1,7,3581-89516-1,Line,123.0,104.42,5.43
eir,1472-2562-1,7,T89510-89515-1,Transformer,125.0,104.31,5.38
eir,1472-2562-1,7,T89515-89516-1,Transformer,125.0,103.27,4.08
ovl,1472-2562-1,7,3581-89516-1,Line,123.0,102.21,2.71
ovl,1472-2562-1,7,T89510-89515-1,Transformer,125.0,101.31,1.64
ovl,1472-2562-1,7,T89515-89516-1,Transformer,125.0,100.82,1.02
eir,1472-2562-1,21,3581-89516-1,Line,123.0,104.65,5.71
eir,1472-2562-1,21,T89510-89515-1,Transformer,125.0,104.61,5.77
eir,1472-2562-1,21,T89515-89516-1,Transformer,125.0,103.52,4.4
ovl,1472-2562-1,21,3581-89516-1,Line,123.0,102.32,2.86
ovl,1472-2562-1,21,T89510-89515-1,Transformer,125.0,101.47,1.83
ovl,1472-2562-1,21,T89515-89516-1,Transformer,125.0,100.95,1.18
eir,1472-2562-1,29,2781-4951-1,Line,106.0,103.04,3.22
eir,1472-2562-1,29,3581-89516-1,Line,123.0,104.91,6.04
eir,1472-2562-1,29,T89510-89515-1,Transformer,125.0,104.97,6.21
eir,1472-2562-1,29,T89515-89516-1,Transformer,125.0,103.81,4.76
ovl,1472-2562-1,29,2781-4951-1,Line,106.0,101.43,1.51
ovl,1472-2562-1,29,3581-89516-1,Line,123.0,102.43,2.99
ovl,1472-2562-1,29,T89510-89515-1,Transformer,125.0,101.61,2.02
ovl,1472-2562-1,29,T89515-89516-1,Transformer,125.0,101.07,1.34
eir,1472-14720-1,108,1122-11260-1,Line,513.0,100.15,0.76
ovl,1472-14720-1,108,1122-11260-1,Line,513.0,100.15,0.76
ovl,1521-2401-1,108,3691-4041-1,Line,192.0,100.18,0.35
eir,1602-3202-1,108,3581-89516-1,Line,123.0,100.18,0.22
ovl,1602-3202-1,108,3581-89516-1,Line,123.0,100.15,0.18
eir,1602-3202-1,159,3581-89516-1,Line,123.0,100.26,0.32
ovl,1602-3202-1,159,3581-89516-1,Line,123.0,100.22,0.27
eir,1642-2522-1,108,1122-11260-1,Line,513.0,100.12,0.6
ovl,1642-4522-1,50,3581-89516-1,Line,123.0,102.07,2.54
ovl,1642-4522-1,50,T89510-89515-1,Transformer,125.0,102.59,3.23
ovl,1642-4522-1,50,T89515-89516-1,Transformer,125.0,101.15,1.44
eir,1642-4522-1,101,1122-11260-1,Line,513.0,100.1,0.54
eir,1642-4522-1,108,1122-11260-1,Line,513.0,100.12,0.6
eir,1642-5172-1,50,1122-1742-1,Line,513.0,100.11,0.54
ovl,1671-1941-1,108,3691-4041-1,Line,192.0,100.31,0.59
eir,1701-1981-1,29,2781-4951-1,Line,106.0,100.12,0.13
eir,1701-1981-1,50,1122-1742-1,Line,513.0,100.24,1.25
eir,1701-1981-1,50,3082-3122-1,Line,634.0,100.22,1.41
ovl,1701-1981-1,50,1122-1742-1,Line,513.0,100.14,0.7
ovl,1701-1981-1,50,3082-3122-1,Line,634.0,100.12,0.78
eir,1701-1981-1,108,T3464-3462-34641-1-w1,Transformer,500.0,100.13,0.64
eir,1701-1981-1,108,T3464-3462-34641-1-w2,Transformer,500.0,100.12,0.61
ovl,1701-1981-1,108,T3464-3462-34641-1-w1,Transformer,500.0,100.14,0.7
ovl,1701-1981-1,108,T3464-3462-34641-1-w2,Transformer,500.0,100.14,0.69
eir,1721-5381-1,108,3581-89516-1,Line,123.0,100.11,0.13
eir,1721-5381-1,159,3581-89516-1,Line,123.0,100.24,0.29
ovl,1721-5381-1,159,3581-89516-1,Line,123.0,100.21,0.26
eir,1741-1851-1,50,3581-89516-1,Line,123.0,100.11,0.14
ovl,1742-3122-1,108,1122-11260-1,Line,513.0,100.1,0.53
eir,1742-17420-1,0,2781-4951-1,Line,106.0,100.93,0.99
eir,1742-17420-1,0,3581-89516-1,Line,123.0,101.45,1.79
eir,1742-17420-1,0,T89510-89515-1,Transformer,125.0,100.36,0.45
ovl,1742-17420-1,0,2781-4951-1,Line,106.0,100.93,0.99
ovl,1742-17420-1,0,3581-89516-1,Line,123.0,101.45,1.79
ovl,1742-17420-1,0,T89510-89515-1,Transformer,125.0,100.36,0.45
eir,1742-17420-1,7,3581-89516-1,Line,123.0,101.47,1.8
eir,1742-17420-1,7,T89510-89515-1,Transformer,125.0,100.38,0.48
ovl,1742-17420-1,7,3581-89516-1,Line,123.0,101.47,1.8
ovl,1742-17420-1,7,T89510-89515-1,Transformer,125.0,100.38,0.48
eir,1742-17420-1,21,3581-89516-1,Line,123.0,101.47,1.81
eir,1742-17420-1,21,T89510-89515-1,Transformer,125.0,100.39,0.48
ovl,1742-17420-1,21,3581-89516-1,Line,123.0,101.47,1.81
