outage,circuit,rank,node,sens_target,sens_net,in_eirgrid,harms,veto_cap_MW,avail_MW
1021-2121-1,1122-1742-1,1,3581,0.01873,0.51347,0,34,358.29,37.49
1021-2121-1,1122-1742-1,2,5361,0.01873,0.51347,0,34,125.64,8.8
1021-2121-1,1122-1742-1,3,4991,0.01873,0.51347,0,34,125.64,12.45
1021-2121-1,1122-1742-1,4,3591,0.01852,0.48623,0,32,263.31,11.92
1021-2121-1,1122-1742-1,5,4071,0.01849,0.48248,0,32,129.68,8.55
1021-2121-1,1122-1742-1,6,1571,0.01794,0.41239,0,31,93.75,11.72
1021-2121-1,1122-1742-1,7,5191,0.01794,0.41239,0,31,297.12,16.09
1021-2121-1,1122-1742-1,8,51911,0.01769,0.3804,0,29,252.4,69.22
1021-2121-1,1122-1742-1,9,4091,0.01769,0.38028,0,31,183.5,47.36
1021-2121-1,1122-1742-1,10,1341,0.01754,0.36071,0,28,321.17,36.96
1021-2121-1,1122-1742-1,11,17010,0.01696,0.28628,0,28,839.95,33.41
1021-2121-1,1122-1742-1,12,4981,0.01354,0.12792,0,34,326.62,0.0
1021-2121-1,1122-1742-1,13,1631,0.01364,0.11931,0,32,351.27,0.0
1021-2121-1,1122-1742-1,14,2671,0.01364,0.11931,0,32,210.21,0.0
1021-2121-1,1122-1742-1,15,1931,0.01248,0.11219,0,37,326.18,0.0
1021-2121-1,1122-1742-1,16,1061,0.01337,0.10009,0,27,118.52,0.0
1021-2121-1,1122-1742-1,17,4371,0.01117,0.09262,0,31,360.17,0.0
1021-2121-1,1122-1742-1,18,2601,0.011,0.09005,0,30,341.2,0.0
1021-2121-1,1122-1742-1,19,5241,0.01035,0.08033,0,28,218.42,0.0
1021-2121-1,1122-1742-1,20,4041,0.01035,0.08033,0,28,499.22,0.0
1021-2121-1,1122-1742-1,21,5341,0.01123,0.07665,0,29,343.97,8.4
1021-2121-1,1122-1742-1,22,2821,0.01999,0.06982,0,24,321.88,6.42
1021-2121-1,1122-1742-1,23,14013,0.00778,0.06548,0,26,221.22,0.0
1021-2121-1,1122-1742-1,24,1401,0.00778,0.06548,0,25,330.43,0.0
1021-2121-1,1122-1742-1,25,14010,0.00778,0.06548,0,26,330.43,0.0
1021-2121-1,1122-1742-1,26,14016,0.00778,0.06548,0,27,210.21,0.0
1021-2121-1,3581-89516-1,1,3581,0.51347,0.51347,1,34,358.29,37.49
1021-2121-1,3581-89516-1,2,5361,0.51347,0.51347,1,34,125.64,8.8
1021-2121-1,3581-89516-1,3,4991,0.51347,0.51347,1,34,125.64,12.45
1021-2121-1,3581-89516-1,4,3591,0.48623,0.48623,1,32,263.31,11.92
1021-2121-1,3581-89516-1,5,4071,0.48248,0.48248,1,32,129.68,8.55
1021-2121-1,3581-89516-1,6,1571,0.41239,0.41239,1,31,93.75,11.72
1021-2121-1,3581-89516-1,7,5191,0.41239,0.41239,1,31,297.12,16.09
1021-2121-1,3581-89516-1,8,51911,0.3804,0.3804,1,29,252.4,69.22
1021-2121-1,3581-89516-1,9,4091,0.38028,0.38028,1,31,183.5,47.36
1021-2121-1,3581-89516-1,10,1341,0.36071,0.36071,1,28,321.17,36.96
1021-2121-1,3581-89516-1,11,17010,0.28628,0.28628,1,28,839.95,33.41
1021-2121-1,3581-89516-1,12,4981,0.12792,0.12792,1,34,326.62,0.0
1021-2121-1,3581-89516-1,13,1631,0.11931,0.11931,1,32,351.27,0.0
1021-2121-1,3581-89516-1,14,2671,0.11931,0.11931,1,32,210.21,0.0
1021-2121-1,3581-89516-1,15,1931,0.11219,0.11219,1,37,326.18,0.0
1021-2121-1,3581-89516-1,16,1061,0.10009,0.10009,1,27,118.52,0.0
1021-2121-1,3581-89516-1,17,4371,0.09262,0.09262,1,31,360.17,0.0
1021-2121-1,3581-89516-1,18,2601,0.09005,0.09005,1,30,341.2,0.0
1021-2121-1,3581-89516-1,19,5241,0.08033,0.08033,1,28,218.42,0.0
1021-2121-1,3581-89516-1,20,4041,0.08033,0.08033,1,28,499.22,0.0
1021-2121-1,3581-89516-1,21,5341,0.07665,0.07665,1,29,343.97,8.4
1021-2121-1,3581-89516-1,22,2821,0.06982,0.06982,1,24,321.88,6.42
1021-2121-1,3581-89516-1,23,14013,0.06548,0.06548,1,26,221.22,0.0
1021-2121-1,3581-89516-1,24,1401,0.06548,0.06548,1,25,330.43,0.0
