outage,circuit,kind,s_nom,worst_loading_pct,hours_over,group_size,eirgrid_group_size,vetoed_from_eirgrid,best_node
1021-2121-1,1122-1742-1,Line,513.0,100.15,3,26,3,3,3581
1021-2121-1,3581-89516-1,Line,123.0,100.17,16,26,26,0,3581
1021-2121-1,T3464-3462-34641-1-w1,Transformer,500.0,100.13,6,26,63,0,3581
1021-2121-1,T3464-3462-34641-1-w2,Transformer,500.0,100.13,6,26,63,0,3581
1021-2361-1,1122-1742-1,Line,513.0,100.13,3,26,3,3,3581
1021-2361-1,3581-89516-1,Line,123.0,100.23,39,26,26,0,3581
1021-10210-1,1122-1742-1,Line,513.0,100.11,2,42,42,0,11261
1031-1181-1,3581-89516-1,Line,123.0,102.29,104,45,26,0,3581
1031-1181-1,T89510-89515-1,Transformer,125.0,100.65,6,45,26,0,3581
1031-1181-1,T89515-89516-1,Transformer,125.0,100.65,6,45,26,0,3581
1031-1181-1,T3464-3462-34641-1-w1,Transformer,500.0,100.18,9,45,63,0,3581
1031-1181-1,T3464-3462-34641-1-w2,Transformer,500.0,100.18,9,45,63,0,3581
1031-4221-1,3581-89516-1,Line,123.0,102.29,104,45,26,0,3581
1031-4221-1,T89510-89515-1,Transformer,125.0,100.65,6,45,26,0,3581
1031-4221-1,T89515-89516-1,Transformer,125.0,100.65,6,45,26,0,3581
1031-4221-1,T3464-3462-34641-1-w1,Transformer,500.0,100.18,9,45,63,0,3581
1031-4221-1,T3464-3462-34641-1-w2,Transformer,500.0,100.18,9,45,63,0,3581
1071-2361-1,1122-1742-1,Line,513.0,100.11,1,83,41,4,1511
1071-2361-1,3082-3122-1,Line,634.0,100.1,1,83,42,5,1511
1071-2361-1,3581-89516-1,Line,123.0,100.17,6,83,26,26,1511
1071-2361-1,T3464-3462-34641-1-w1,Transformer,500.0,100.59,19,83,62,0,1511
1071-2361-1,T3464-3462-34641-1-w2,Transformer,500.0,100.59,19,83,62,0,1511
1071-4941-1,1122-1742-1,Line,513.0,100.15,8,78,41,4,14016
1071-4941-1,3082-3122-1,Line,634.0,100.17,5,78,42,5,14016
1071-4941-1,3691-4041-1,Line,192.0,100.33,2,78,14,0,14016
1071-4941-1,T3464-3462-34641-1-w1,Transformer,500.0,101.19,20,78,63,0,14016
1071-4941-1,T3464-3462-34641-1-w2,Transformer,500.0,101.19,20,78,63,0,14016
1121-1301-1,1122-1742-1,Line,513.0,117.31,21,44,44,0,11261
1121-1301-1,3581-89516-1,Line,123.0,100.13,15,44,26,26,11261
1121-1301-1,T3464-3462-34641-1-w1,Transformer,500.0,100.72,20,44,63,0,11261
1121-1301-1,T3464-3462-34641-1-w2,Transformer,500.0,100.72,20,44,63,0,11261
1121-4321-1,3082-3122-1,Line,634.0,100.28,1,75,42,5,1511
1121-4321-1,T3464-3462-34641-1-w1,Transformer,500.0,100.33,9,75,63,0,1511
1121-4321-1,T3464-3462-34641-1-w2,Transformer,500.0,100.33,9,75,63,0,1511
1122-1742-1,1121-1301-1,Line,159.0,182.98,50,42,13,0,1121
1122-1742-1,1301-17411-1,Line,159.0,173.25,44,42,13,0,1121
1122-1742-1,3581-89516-1,Line,123.0,101.21,67,42,26,26,1121
1122-1742-1,3691-4041-1,Line,192.0,100.91,2,42,14,8,1121
1122-1742-1,T3464-3462-34641-1-w1,Transformer,500.0,106.68,25,42,65,0,1121
1122-1742-1,T3464-3462-34641-1-w2,Transformer,500.0,106.68,25,42,65,0,1121
1122-1742-1,T3934-3942-39402-1-w1,Transformer,500.0,104.29,21,42,65,0,1121
1122-3642-1,3082-3122-1,Line,634.0,104.06,3,15,15,0,17420
1122-3642-1,3581-89516-1,Line,123.0,100.28,30,15,26,26,17420
1122-3642-1,3691-4041-1,Line,192.0,100.14,1,15,14,4,17420
1122-3642-1,T3464-3462-34641-1-w1,Transformer,500.0,102.02,18,15,65,0,17420
1122-3642-1,T3464-3462-34641-1-w2,Transformer,500.0,102.02,18,15,65,0,17420
1141-3501-1,1122-1742-1,Line,513.0,100.9,9,82,42,4,11261
1141-3501-1,3082-3122-1,Line,634.0,100.52,7,82,42,5,11261
1141-3501-1,3581-89516-1,Line,123.0,100.82,16,82,27,27,11261
1141-3501-1,3691-4041-1,Line,192.0,101.0,2,82,14,8,11261
1141-3501-1,T3464-3462-34641-1-w1,Transformer,500.0,101.47,20,82,65,0,11261
1141-3501-1,T3464-3462-34641-1-w2,Transformer,500.0,101.47,20,82,65,0,11261
