node,p_nom_MW,cut_events,cut_total_MW,avail_total_MW,pct_events_cut,pct_MW_offered_kept
3301,13.85,6,52.71,198728.4,0.0297,99.973
1341,89.3,8,75.85,642644.1,0.0396,99.988
4681,32.49,8,79.05,480895.2,0.0396,99.984
77212,51.6,9,49.1,380243.2,0.0445,99.987
77210,67.9,10,72.03,500358.8,0.0495,99.986
85510,70.6,12,89.69,422908.9,0.0594,99.979
2771,74.215,12,791.6,817752.6,0.0594,99.903
1751,54.0,12,524.85,579315.5,0.0594,99.909
70010,82.5,14,123.27,558210.9,0.0693,99.978
79010,16.9,16,27.74,126387.1,0.0792,99.978
89510,28.1,16,48.88,273102.8,0.0792,99.982
87510,95.7,16,166.22,579080.0,0.0792,99.971
73500,47.5,17,79.71,204831.3,0.0841,99.961
75010,103.0,18,162.83,570030.9,0.0891,99.971
80710,67.5,18,130.98,411817.3,0.0891,99.968
89210,27.6,19,54.22,175379.0,0.094,99.969
87900,76.3,20,150.16,319803.2,0.099,99.953
1311,147.6,20,1123.32,1193887.9,0.099,99.906
90210,90.0,20,194.29,635948.3,0.099,99.969
81810,73.7,21,154.44,466633.2,0.1039,99.967
1441,13.6,21,209.29,98175.1,0.1039,99.787
74011,13.8,22,14.16,52592.1,0.1089,99.973
71011,50.15,22,49.91,218319.8,0.1089,99.977
84412,15.0,24,37.34,84233.5,0.1188,99.956
77511,17.5,24,29.02,122578.9,0.1188,99.976
83011,15.0,24,2.0,44755.0,0.1188,99.996
83510,37.7,24,93.68,322756.7,0.1188,99.971
1841,7.49,28,84.64,28337.2,0.1386,99.701
3221,0.85,30,20.09,7722.5,0.1485,99.74
2225,22.95,31,598.68,278434.9,0.1534,99.785
5274,115.08,31,1988.56,1872436.1,0.1534,99.894
3101,35.95,33,728.07,442137.0,0.1633,99.835
1251,154.219,34,802.74,2123928.2,0.1683,99.962
3891,67.89999999999999,35,1963.91,806029.6,0.1732,99.756
5271,59.08,35,1247.04,961275.0,0.1732,99.87
2221,27.17,35,716.61,334554.6,0.1732,99.786
3621,68.4,36,1511.07,862925.2,0.1782,99.825
1231,42.0,37,839.65,208781.7,0.1831,99.598
4091,95.25,37,614.02,768049.7,0.1831,99.92
36210,59.0,37,1262.4,741489.6,0.1831,99.83
3881,24.0,37,685.59,254146.4,0.1831,99.73
1281,65.71000000000001,38,2022.58,754586.4,0.1881,99.732
1551,169.05,40,4993.8,1962196.2,0.198,99.745
2391,36.0,42,805.74,201015.9,0.2079,99.599
1461,32.4,42,1053.02,291325.0,0.2079,99.639
23610,72.39,43,2019.56,1120952.2,0.2128,99.82
3801,1.7,49,64.67,15425.6,0.2425,99.581
28810,40.8,49,895.2,314479.5,0.2425,99.715
1521,56.4,49,368.87,577843.4,0.2425,99.936
1901,55.74,50,739.28,784577.9,0.2475,99.906
2401,79.2,50,532.22,811439.7,0.2475,99.934
1021,8.16,52,226.43,103248.9,0.2574,99.781
4391,50.0,52,367.92,233357.4,0.2574,99.842
3561,33.1,53,201.44,181930.8,0.2623,99.889
1671,75.0,53,563.69,448824.6,0.2623,99.874
5301,41.8,53,1222.43,559582.9,0.2623,99.782
2101,16.6,57,128.43,147041.7,0.2821,99.913
2231,59.5,57,906.06,650721.7,0.2821,99.861
2141,8.98,57,286.38,49018.1,0.2821,99.416
5381,4.6,58,191.82,54969.9,0.2871,99.651
32060,450.0,63,16922.52,3746350.2,0.3118,99.548
4781,78.62,65,808.78,201165.3,0.3217,99.598
1381,2.0,66,112.09,23589.9,0.3267,99.525
6931,20.0,67,1006.56,255037.9,0.3316,99.605
4481,54.20099999999999,70,615.02,555313.7,0.3465,99.889
6201,156.84,70,2414.26,1681060.1,0.3465,99.856
3491,48.9,71,440.58,226683.2,0.3514,99.806
4361,9.0,72,536.18,152641.6,0.3564,99.649
2701,0.5,72,5.41,3531.9,0.3564,99.847
68090,34.0,76,1870.77,436210.3,0.3762,99.571
66096,84.0,78,2417.41,918665.9,0.3861,99.737
1931,34.8,80,609.73,97145.3,0.396,99.372
1481,1.7,94,70.3,10678.2,0.4653,99.342
4961,28.017,94,483.51,226410.4,0.4653,99.786
2181,5.949999999999999,96,120.24,33291.3,0.4752,99.639
66123,370.0,99,7863.21,3207265.2,0.49,99.755
66094,58.0,100,1313.8,460476.6,0.495,99.715
4371,77.3,101,1635.33,273055.8,0.4999,99.401
1881,70.699,105,2394.64,981181.9,0.5197,99.756
3311,110.2,109,3112.99,997848.1,0.5395,99.688
3821,68.698,111,1500.18,532379.4,0.5494,99.718
2671,82.0,111,1967.1,428339.0,0.5494,99.541
44731,483.0,113,8280.0,3633410.5,0.5593,99.772
4991,63.25,116,223.44,93158.6,0.5742,99.76
2821,8.0,118,154.14,71094.3,0.5841,99.783
4261,14.69,118,597.17,160657.2,0.5841,99.628
3511,97.5,120,2994.97,882851.1,0.594,99.661
2601,75.6,122,1771.41,325416.8,0.6039,99.456
1991,41.400000000000006,124,2833.83,280725.2,0.6138,98.991
5441,18.53,131,1166.34,114681.3,0.6484,98.983
2651,49.5,131,2360.19,352416.9,0.6484,99.33
1431,45.0,132,2003.8,220385.7,0.6534,99.091
5341,12.040000000000001,134,594.29,133415.5,0.6633,99.555
17010,55.0,135,3234.42,547155.5,0.6682,99.409
3391,105.0,137,4699.96,788206.3,0.6781,99.404
