outage,branch,kind,s_nom,hours_over,peak_loading_pct,peak_overload_MW,intact_loading_pct,n_helpful_nodes,best_sensitivity
1021-2121-1,1122-1742-1,Line,513.0,3,100.1495,0.767,100.0,33,0.5458
1021-2121-1,3581-89516-1,Line,123.0,16,100.1695,0.2085,100.0,26,0.5054
1021-2121-1,T3464-3462-34641-1-w1,Transformer,500.0,6,100.1307,0.6536,100.0,56,0.186
1021-2121-1,T3464-3462-34641-1-w2,Transformer,500.0,6,100.1307,0.6536,100.0,56,0.1873
1021-2341-1,3581-89516-1,Line,123.0,15,100.1781,0.2191,100.0,26,0.5054
1021-2361-1,1122-1742-1,Line,513.0,3,100.129,0.662,100.0,33,0.5458
1021-2361-1,3581-89516-1,Line,123.0,39,100.2266,0.2788,100.0,26,0.5054
1021-10210-1,1122-1742-1,Line,513.0,2,100.1115,0.572,100.0,33,0.5459
1031-1181-1,3581-89516-1,Line,123.0,104,102.2864,2.8122,100.0,26,0.5071
1031-1181-1,T89510-89515-1,Transformer,125.0,6,100.6498,0.8122,98.4,26,0.5031
1031-1181-1,T89515-89516-1,Transformer,125.0,6,100.6498,0.8122,98.4,26,0.5058
1031-1181-1,T3464-3462-34641-1-w1,Transformer,500.0,9,100.1773,0.8867,100.0,56,0.1858
1031-1181-1,T3464-3462-34641-1-w2,Transformer,500.0,9,100.1773,0.8867,100.0,56,0.1872
1031-4221-1,3581-89516-1,Line,123.0,104,102.2864,2.8122,100.0,26,0.507
1031-4221-1,T89510-89515-1,Transformer,125.0,6,100.6498,0.8122,98.4,26,0.503
1031-4221-1,T89515-89516-1,Transformer,125.0,6,100.6498,0.8122,98.4,26,0.5057
1031-4221-1,T3464-3462-34641-1-w1,Transformer,500.0,9,100.1773,0.8867,100.0,56,0.1858
1031-4221-1,T3464-3462-34641-1-w2,Transformer,500.0,9,100.1773,0.8867,100.0,56,0.1871
1042-10422-1,1122-11260-1,Line,513.0,32,100.1154,0.592,100.0,1,0.9973
1042-10422-1,2781-4951-1,Line,106.0,37,101.2403,1.3147,100.0,5,0.8104
1042-10422-1,3581-89516-1,Line,123.0,119,100.9945,1.2232,100.0,26,0.5053
1061-10619-1,3581-89516-1,Line,123.0,24,100.3553,0.437,100.0,25,0.5055
1071-2231-1,2781-4951-1,Line,106.0,36,100.2991,0.3171,100.0,5,0.8104
