,station,wind_MW,reach,helps,hurts,depth,relief,harm,net,net_flat
3581,Letterkenny,60.27,1,1,0,0.50536,0.18437,0.0077,0.17667,0.03097
5361,Trillick,44.69,1,1,0,0.50536,0.18437,0.0077,0.17667,0.03097
4991,Sorne Hill,63.25,1,1,0,0.50536,0.18437,0.0077,0.17667,0.03097
3591,Lenalea,30.5,1,1,0,0.47811,0.17445,0.00758,0.16687,0.02833
4071,Meentycat,84.96,1,1,0,0.47436,0.17309,0.00756,0.16552,0.02796
1571,Ardnagappary,22.94,1,1,0,0.40427,0.14756,0.00726,0.1403,0.02114
5191,Tievebrack,29.9,1,1,0,0.40427,0.14756,0.00726,0.1403,0.02114
51911,Croaghonagh,139.2,1,1,0,0.37228,0.13591,0.00712,0.12879,0.01803
4091,Mulreavy,95.25,1,1,0,0.37216,0.13587,0.00712,0.12875,0.01802
1341,Binbane,89.3,1,1,0,0.35259,0.12874,0.00703,0.12171,0.01612
11261,W_Arklow_Off,800.0,3,3,0,0.99734,0.12154,0.00757,0.11397,0.18255
2171,Knockalough,33.6,1,1,0,0.81044,0.10198,0.00101,0.10097,0.09077
2331,Ferry View,47.3,1,1,0,0.81044,0.10198,0.00101,0.10097,0.09077
20900,Buffy,109.2,1,1,0,0.81044,0.10198,0.00101,0.10097,0.09077
1831,Screeb,7.99,1,1,0,0.81044,0.10198,0.00101,0.10097,0.09077
4951,Salthill,46.1,1,1,0,0.81044,0.10198,0.00101,0.10097,0.09077
17010,Cath Fall,55.0,2,1,1,0.27815,0.10163,0.0067,0.09492,0.00888
4981,Sligo,17.73,2,1,1,0.11978,0.04395,0.00509,0.03885,-0.00701
2671,Garvagh,82.0,2,1,1,0.11117,0.04081,0.00506,0.03576,-0.00644
1631,Corderry,79.603,2,1,1,0.11117,0.04081,0.00506,0.03576,-0.00644
1931,Cunghill,34.8,2,1,1,0.14604,0.03822,0.00497,0.03325,-0.01352
1061,Arigna,15.6,2,1,1,0.09195,0.03381,0.00493,0.02888,-0.00791
4371,Glenree,77.3,2,1,1,0.21898,0.03109,0.00481,0.02628,-0.02161
2601,Firlough,75.6,2,1,1,0.22858,0.03015,0.00479,0.02536,-0.02268
14016,Croaghaun,50.0,2,2,0,0.55335,0.02493,0.00217,0.02276,0.05598
1401,Bellacorick,46.89,2,2,0,0.55335,0.02493,0.00217,0.02276,0.05598
14010,Bellacorick,33.9,2,2,0,0.55335,0.02493,0.00217,0.02276,0.05598
14013,Srahnakilly,172.0,2,2,0,0.55335,0.02493,0.00217,0.02276,0.05598
5241,Tawnaghmore,19.2,2,1,1,0.2648,0.02661,0.00471,0.0219,-0.0267
4041,Moy,6.0,2,1,1,0.2648,0.02661,0.00471,0.0219,-0.0267
5341,Tonroe,12.04,2,1,1,0.1884,0.02527,0.00467,0.0206,-0.02026
1511,Cloghboola,100.549,2,2,0,0.18721,0.02351,0.00299,0.02052,0.03733
52610,Trien,46.3,2,2,0,0.18721,0.02351,0.00299,0.02052,0.03733
2131,Dromada,28.5,2,2,0,0.18721,0.02351,0.00299,0.02052,0.03733
11310,Tobertoreen,23.15,2,2,0,0.18721,0.02351,0.00299,0.02052,0.03733
1131,Athea,34.35,2,2,0,0.18721,0.02351,0.00299,0.02052,0.03733
3461,Kilpaddoge,18.0,2,2,0,0.17217,0.02184,0.0028,0.01904,0.03517
3481,Coolnanoonag,37.0,2,2,0,0.17217,0.02184,0.0028,0.01904,0.03517
2151,Drombeg,25.2,2,2,0,0.17,0.02166,0.00281,0.01886,0.03507
39420,W_Skerd Rock,450.0,2,2,0,0.17525,0.02195,0.00314,0.01881,0.0341
5261,Trien,26.5,2,2,0,0.1689,0.02157,0.00281,0.01876,0.03503
1651,Clahane,51.6,2,2,0,0.1673,0.02144,0.00282,0.01862,0.03496
3251,Reamore,83.15,2,2,0,0.16498,0.02125,0.00282,0.01843,0.03486
5281,Tralee,47.56,2,2,0,0.16498,0.02125,0.00282,0.01843,0.03486
4361,Oughtragh,9.0,2,2,0,0.15937,0.02078,0.00283,0.01795,0.03462
1311,Cordal,147.6,2,2,0,0.1559,0.02072,0.00297,0.01776,0.03532
3391,Knockacummer,105.0,2,2,0,0.1559,0.02072,0.00297,0.01776,0.03532
28810,Glenlara,40.8,2,2,0,0.1559,0.02072,0.00297,0.01776,0.03532
3301,Knockearagh,13.85,2,2,0,0.14815,0.01985,0.00286,0.01699,0.03415
3941,Moneypoint,17.25,2,2,0,0.15402,0.01936,0.00239,0.01697,0.03072
1751,Coomnaclohy,54.0,2,2,0,0.1438,0.01964,0.00296,0.01669,0.03454
6201,Coomataggart,156.84,2,2,0,0.1438,0.01964,0.00296,0.01669,0.03454
1971,Coomagearlah,81.0,2,2,0,0.1438,0.01964,0.00296,0.01669,0.03454
2731,Glanlee,29.8,2,2,0,0.1438,0.01964,0.00296,0.01669,0.03454
2771,Garrow,74.215,2,2,0,0.1438,0.01964,0.00296,0.01669,0.03454
4681,Rathkeale,32.49,2,2,0,0.14484,0.01878,0.00245,0.01634,0.03111
5221,Tullabrack,31.0,2,2,0,0.1458,0.01836,0.00212,0.01624,0.02939
1661,Castlebar,50.44,1,1,0,0.30092,0.01735,0.00197,0.01539,0.03194
2821,Gortawee,8.0,1,1,0,0.0617,0.0228,0.0078,0.015,-0.01339
1551,Boggeragh,169.05,3,3,0,0.12337,0.01779,0.00292,0.01487,0.0331
3881,Macroom,24.0,3,3,0,0.12137,0.01761,0.00292,0.01469,0.03296
1251,Booltiagh,154.219,2,2,0,0.12521,0.01592,0.00149,0.01442,0.02607
1281,Ballylickey,65.71,3,3,0,0.11825,0.01734,0.00292,0.01442,0.03278
3891,Carrigdangan,67.9,3,3,0,0.11825,0.01734,0.00292,0.01442,0.03278
2221,Dunmanway,27.17,3,3,0,0.11825,0.01734,0.00292,0.01442,0.03278
2225,Dunmanway,22.95,3,3,0,0.11825,0.01734,0.00292,0.01442,0.03278
1441,Bandon,13.6,3,3,0,0.1119,0.01678,0.00292,0.01386,0.0324
66096,Upperchurch,84.0,2,2,0,0.11504,0.01551,0.00215,0.01336,0.0269
4261,Nenagh,14.69,2,2,0,0.11504,0.01551,0.00215,0.01336,0.0269
1881,Charleville,70.699,2,2,0,0.11097,0.01578,0.00246,0.01332,0.02897
2881,Glenlara,26.0,2,2,0,0.11097,0.01578,0.00246,0.01332,0.02897
3221,Kilbarry,0.85,3,3,0,0.10488,0.01615,0.0029,0.01325,0.03195
1021,Ardnacrusha,8.16,2,2,0,0.11292,0.01505,0.00181,0.01324,0.02591
1381,Barnahely,2.0,4,4,0,0.1029,0.01599,0.00291,0.01308,0.03189
2281,Dalton_A1,40.8,1,1,0,0.22216,0.01487,0.00188,0.01299,0.02479
