branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2121-1,1021,0.12890276930816316,0.12890276930816316,8.16,2
1021-2121-1,1061,-0.014789862210379423,-0.014789862210379423,15.6,4
1021-2121-1,1121,0.004967003415486929,0.004967003415486929,118.39000000000001,4
1021-2121-1,1131,0.005726630514851055,0.005726630514851055,34.35,1
1021-2121-1,1141,-0.021571621663460515,-0.021571621663460515,0.9,1
1021-2121-1,1231,0.008643772192015474,0.008643772192015474,42.0,2
1021-2121-1,1251,-0.12920899123785448,-0.12920899123785448,154.219,11
1021-2121-1,1281,0.025272326332538113,0.025272326332538113,65.71000000000001,6
1021-2121-1,1311,0.014044983575973615,0.014044983575973615,147.6,4
1021-2121-1,1341,-0.010435921333361504,-0.010435921333361504,89.3,17
1021-2121-1,1381,0.028204713033136312,0.028204713033136312,2.0,1
1021-2121-1,1401,-0.024823154203554444,-0.024823154203554444,46.88999999999999,6
1021-2121-1,1431,0.0019735406765412715,0.0019735406765412715,45.0,1
1021-2121-1,1441,0.02662228359640283,0.02662228359640283,13.6,3
1021-2121-1,1461,0.02964576391891675,0.02964576391891675,32.4,1
1021-2121-1,1481,0.01593015457504598,0.01593015457504598,1.7,1
1021-2121-1,1511,0.005726630514857098,0.005726630514857098,100.549,5
1021-2121-1,1521,-0.0037946304276346497,-0.0037946304276346497,56.4,1
1021-2121-1,1551,0.024105682949077216,0.024105682949077216,169.05,7
1021-2121-1,1571,-0.009964439938430476,-0.009964439938430476,22.94,3
1021-2121-1,1631,-0.014556967242878867,-0.014556967242878867,79.60300000000001,12
1021-2121-1,1651,0.02436297157382056,0.02436297157382056,51.599999999999994,2
1021-2121-1,1661,-0.0313971540713441,-0.0313971540713441,50.44,7
1021-2121-1,1671,-0.003508483358789938,-0.003508483358789938,75.0,1
1021-2121-1,1751,0.01726005255047209,0.01726005255047209,54.0,2
1021-2121-1,1821,-0.03460723906005477,-0.03460723906005477,9.24,2
1021-2121-1,1831,-0.04120166011642252,-0.04120166011642252,7.99,2
1021-2121-1,1841,0.00864377219191701,0.00864377219191701,7.49,2
1021-2121-1,1881,0.06204327062615114,0.06204327062615114,70.699,7
1021-2121-1,1901,0.0033235051838183373,0.0033235051838183373,55.74,7
1021-2121-1,1931,-0.01657442054862784,-0.01657442054862784,34.8,2
1021-2121-1,1971,0.01726005255046725,0.01726005255046725,81.0,3
1021-2121-1,1991,0.008538115951389615,0.008538115951389615,41.400000000000006,4
1021-2121-1,2101,-0.004988026558427793,-0.004988026558427793,16.6,2
1021-2121-1,2111,-0.04120166011635904,-0.04120166011635904,174.0,2
1021-2121-1,2131,0.005726630514847211,0.005726630514847211,28.5,1
1021-2121-1,2141,0.02179909595945579,0.02179909595945579,8.98,2
1021-2121-1,2151,0.024378821720831008,0.024378821720831008,25.2,1
1021-2121-1,2171,-0.04120166011641988,-0.04120166011641988,33.6,1
1021-2121-1,2181,-0.003927494203127918,-0.003927494203127918,5.949999999999999,4
1021-2121-1,2221,0.02527232633255676,0.02527232633255676,27.17,4
1021-2121-1,2225,0.02527299952306506,0.02527299952306506,22.95,2
1021-2121-1,2231,-0.1203290794327354,-0.1203290794327354,59.5,1
1021-2121-1,2241,-0.01984368503065732,-0.01984368503065732,26.03,5
1021-2121-1,2281,-0.034471072893883535,-0.034471072893883535,40.8,1
1021-2121-1,2331,-0.04120166011641682,-0.04120166011641682,47.3,1
1021-2121-1,2391,0.024647924785589324,0.024647924785589324,36.0,1
1021-2121-1,2401,-0.003794630427636818,-0.003794630427636818,79.2,1
1021-2121-1,2601,-0.019015838835206196,-0.019015838835206196,75.6,2
1021-2121-1,2651,0.00026347027500419414,0.00026347027500419414,49.5,1
1021-2121-1,2671,-0.014556967242880463,-0.014556967242880463,82.0,3
1021-2121-1,2701,-0.0017991263859501209,-0.0017991263859501209,0.5,1
1021-2121-1,2731,0.017260052550467444,0.017260052550467444,29.8,2
1021-2121-1,2742,0.012166915500830712,0.012166915500830712,450.0,1
1021-2121-1,2771,0.01726005255047366,0.01726005255047366,74.215,4
1021-2121-1,2821,-0.008695444493633272,-0.008695444493633272,8.0,2
1021-2121-1,2881,0.062043270626099475,0.062043270626099475,26.0,1
1021-2121-1,3101,0.002547494288778162,0.002547494288778162,35.95,1
1021-2121-1,3221,0.02842340783734331,0.02842340783734331,0.85,1
1021-2121-1,3251,0.024349340388152528,0.024349340388152528,83.15,4
1021-2121-1,3301,0.024250412049661666,0.024250412049661666,13.85,2
1021-2121-1,3311,-0.004511061860464456,-0.004511061860464456,110.2,1
1021-2121-1,3391,0.014044983575970948,0.014044983575970948,105.0,1
1021-2121-1,3461,0.02439154909655903,0.02439154909655903,18.0,1
1021-2121-1,3481,0.0243915490965593,0.0243915490965593,37.0,1
1021-2121-1,3491,-0.007306374677767974,-0.007306374677767974,48.9,1
1021-2121-1,3501,-0.018676242327781714,-0.018676242327781714,9.55,2
1021-2121-1,3511,-0.008966842902390587,-0.008966842902390587,97.5,2
1021-2121-1,3561,-0.006462851193981284,-0.006462851193981284,33.1,1
1021-2121-1,3571,-0.017718146144692346,-0.017718146144692346,34.0,1
1021-2121-1,3581,-0.009042188217791729,-0.009042188217791729,60.27,7
1021-2121-1,3591,-0.009290721046086116,-0.009290721046086116,30.5,1
1021-2121-1,3621,0.014641824363785328,0.014641824363785328,68.4,2
1021-2121-1,3801,0.028039167454382046,0.028039167454382046,1.7,1
1021-2121-1,3821,-0.004626442382365825,-0.004626442382365825,68.698,7
1021-2121-1,3881,0.02466565377842132,0.02466565377842132,24.0,1
1021-2121-1,3891,0.025272326332555887,0.025272326332555887,67.89999999999999,2
1021-2121-1,3941,-0.054327009157233146,-0.054327009157233146,17.25,1
1021-2121-1,4041,-0.02008721193124001,-0.02008721193124001,6.0,1
1021-2121-1,4071,-0.00932503536323239,-0.00932503536323239,84.96,3
1021-2121-1,4091,-0.010257665386182488,-0.010257665386182488,95.25,4
1021-2121-1,4121,-0.004450480727966721,-0.004450480727966721,60.0,1
1021-2121-1,4261,0.08537071443822347,0.08537071443822347,14.69,6
1021-2121-1,4361,0.024316334378568248,0.024316334378568248,9.0,1
1021-2121-1,4371,-0.018731889172781582,-0.018731889172781582,77.3,4
1021-2121-1,4391,-0.0035133289966499245,-0.0035133289966499245,50.0,1
1021-2121-1,4481,-0.0036610108232481425,-0.0036610108232481425,54.20099999999999,2
1021-2121-1,4671,-0.018676242327781773,-0.018676242327781773,90.0,1
1021-2121-1,4681,0.05978070534269429,0.05978070534269429,32.49,3
1021-2121-1,4701,-0.018678414164317172,-0.018678414164317172,4.99,1
1021-2121-1,4781,-0.007220611971757482,-0.007220611971757482,78.62,3
1021-2121-1,4951,-0.04120166011635648,-0.04120166011635648,46.1,4
1021-2121-1,4961,-0.007972835213851677,-0.007972835213851677,28.017,3
